set,learner,population,alpha,role,dose,n,mean_ctk,ci_low,ci_high,positive_seeds,evidence_class
primary-set,central,federation-wide,0.01,secondary,100,10,0.13976044588495246,0.11139136312003188,0.1758197509803048,10,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.01,secondary,200,10,0.16963652748004326,0.13915161051810865,0.20551071137293642,10,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.01,secondary,natural,10,0.13066038251723727,0.10202834341822306,0.17666793446614565,10,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.05,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.05,secondary,10,10,0.054437948247804346,0.03741614875886295,0.07096094607548381,10,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.05,secondary,25,10,0.09846441081914406,0.07246818302730551,0.12302465039004805,10,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.05,secondary,50,10,0.13960448785509014,0.1238784204245447,0.158691774506054,10,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.05,secondary,100,10,0.1961749527353795,0.16538721031291154,0.23015262037226525,10,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.05,secondary,200,10,0.21657741621006088,0.19867645469422135,0.24244172265544597,10,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.05,secondary,natural,10,0.16364431940724383,0.1276367524800054,0.19756007063527986,10,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.1,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.1,secondary,10,10,0.05568843169780309,0.03355641146021032,0.07170126753106539,9,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.1,secondary,25,10,0.11269553896924858,0.08111936038570133,0.14669998554823313,10,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.1,secondary,50,10,0.14851545260379523,0.12094781123472076,0.17385722651155078,10,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.1,secondary,100,10,0.19234120435437557,0.15529957891875157,0.22049272584647503,10,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.1,secondary,200,10,0.22695723127629935,0.18630438082891176,0.2546720598463383,10,D-post-hoc-diagnostic
primary-set,central,federation-wide,0.1,secondary,natural,10,0.16802778795003526,0.12509976257370825,0.2065466672493683,10,D-post-hoc-diagnostic
primary-set,central,own-domain,0.01,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
primary-set,central,own-domain,0.01,secondary,10,10,0.05127328434865709,0.017281025206227034,0.10727598024616965,7,D-post-hoc-diagnostic
primary-set,central,own-domain,0.01,secondary,25,10,0.06413052176362254,0.03643822706335043,0.1049626763240228,9,D-post-hoc-diagnostic
primary-set,central,own-domain,0.01,secondary,50,10,0.11493808280722054,0.07217110597989412,0.17641149429259761,10,D-post-hoc-diagnostic
primary-set,central,own-domain,0.01,secondary,100,10,0.15934159531241,0.11131509670730078,0.21598195953268456,10,D-post-hoc-diagnostic
primary-set,central,own-domain,0.01,secondary,200,10,0.1834337991922177,0.13313269567576752,0.25119766975563984,10,D-post-hoc-diagnostic
primary-set,central,own-domain,0.01,secondary,natural,10,0.12782208582426946,0.08716297223666508,0.22225241119814793,10,D-post-hoc-diagnostic
primary-set,central,own-domain,0.05,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
primary-set,central,own-domain,0.05,secondary,10,10,0.04589336320084075,0.030150842102473048,0.08057244598457938,10,D-post-hoc-diagnostic
primary-set,central,own-domain,0.05,secondary,25,10,0.07147479559166357,0.03758158719834069,0.11140743522065351,9,D-post-hoc-diagnostic
primary-set,central,own-domain,0.05,secondary,50,10,0.11341761300703175,0.08190709377216511,0.1666684977566164,10,D-post-hoc-diagnostic
primary-set,central,own-domain,0.05,secondary,100,10,0.15068880016905312,0.11808589156237576,0.19338145668186224,10,D-post-hoc-diagnostic
primary-set,central,own-domain,0.05,secondary,200,10,0.17908157884003836,0.14753442255459653,0.21316505750107925,10,D-post-hoc-diagnostic
primary-set,central,own-domain,0.05,secondary,natural,10,0.14734042132901537,0.10669296082438709,0.18049942908908534,10,D-post-hoc-diagnostic
primary-set,central,own-domain,0.1,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
primary-set,central,own-domain,0.1,secondary,10,10,0.05027069188016181,0.02176673455063721,0.08619841464645783,8,D-post-hoc-diagnostic
primary-set,central,own-domain,0.1,secondary,25,10,0.08897765965115713,0.04614995605121087,0.12250719871581818,8,D-post-hoc-diagnostic
primary-set,central,own-domain,0.1,secondary,50,10,0.12472667203811139,0.08804595288631799,0.162480832577458,10,D-post-hoc-diagnostic
primary-set,central,own-domain,0.1,secondary,100,10,0.14752695490919576,0.10548712361195894,0.18493868364476446,10,D-post-hoc-diagnostic
primary-set,central,own-domain,0.1,secondary,200,10,0.16571674278753004,0.1145095739609194,0.1952446447067714,10,D-post-hoc-diagnostic
primary-set,central,own-domain,0.1,secondary,natural,10,0.13057592480863062,0.08698671226905773,0.16556271019608693,10,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.01,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.01,secondary,10,10,0.005541573879543939,0.0016545602472527372,0.008523874831515663,8,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.01,secondary,25,10,0.015856003673348017,0.012514758052022346,0.018946464667925676,10,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.01,secondary,50,10,0.020814466006050577,0.015836993210813475,0.0256428047511991,10,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.01,secondary,100,10,0.03208495514592641,0.022609962203295076,0.043254214928106785,10,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.01,secondary,200,10,0.04615669611421186,0.03607433963657731,0.0693842789606691,10,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.01,secondary,natural,10,0.03589279357266639,0.02816596734459501,0.045375601190203715,10,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.05,PRIMARY,0,10,0.0,,,0,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.05,PRIMARY,10,10,0.016973962755151794,0.007795909951918983,0.027747134711787642,8,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.05,PRIMARY,25,10,0.022163365734731398,0.011610402958766447,0.031703407278805246,9,D-post-hoc-diagnostic
replication-set,fedavg,federation-wide,0.05,PRIMARY,50,10,0.03655399140684411,0.015282246312049589,0.05315924444143557,8,D-post-hoc-diagnostic
