set,learner,population,alpha,role,dose,n,mean_ctk,ci_low,ci_high,positive_seeds,evidence_class
pooled-family-sets,fedavg,own-domain,0.1,secondary,10,10,0.05094502300582553,0.02686172828287393,0.0767769845294379,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.1,secondary,25,10,0.07620452344045257,0.053040303210268494,0.0973524001164017,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.1,secondary,50,10,0.10684931700543658,0.07555812034606803,0.13417186214438076,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.1,secondary,100,10,0.14187167936785605,0.11015282898200526,0.16749796237304637,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.1,secondary,200,10,0.16368881176241834,0.13183009766487072,0.18999663424862195,10,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.1,secondary,natural,10,0.1110537957747458,0.08513366713679094,0.142096068332047,10,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.01,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.01,secondary,10,10,0.029823184643642614,0.014697183019359147,0.04886842648737748,9,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.01,secondary,25,10,0.04569906381200138,0.032521909977759195,0.06615012263900073,10,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.01,secondary,50,10,0.06783573996728766,0.04934121254671185,0.09015344030451516,10,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.01,secondary,100,10,0.09887321035702507,0.07917156954466067,0.1200849166650566,10,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.01,secondary,200,10,0.11479227103280716,0.09335180963360105,0.1397275605225926,10,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.01,secondary,natural,10,0.10503892540164159,0.0845076736745572,0.14306659914458497,10,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.05,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.05,secondary,10,10,0.03956790940658349,0.028597721753242322,0.04585474691390882,10,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.05,secondary,25,10,0.07524834209965978,0.060882682052022186,0.0947552807378768,10,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.05,secondary,50,10,0.10151974335770989,0.09057467458259787,0.11131695811499998,10,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.05,secondary,100,10,0.1636318915956633,0.13353127557096922,0.1886563794463226,10,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.05,secondary,200,10,0.18391589887279686,0.16585675127714852,0.19975629148767843,10,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.05,secondary,natural,10,0.12819611348002352,0.10898284868067357,0.14967306159261481,10,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.1,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.1,secondary,10,10,0.04775141805038421,0.03256354388427802,0.07959310001697878,10,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.1,secondary,25,10,0.09915047114714119,0.07411018976402564,0.12970415812947406,10,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.1,secondary,50,10,0.13518305068701947,0.1166118686902681,0.15393544955116856,10,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.1,secondary,100,10,0.17009441204692216,0.15287971635212233,0.18678392737144858,10,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.1,secondary,200,10,0.18577169290880183,0.16222364166743847,0.20963826398287388,10,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.1,secondary,natural,10,0.15508707351550288,0.133743801298974,0.17840866635251965,10,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.01,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.01,secondary,10,10,0.038028916788302454,0.014989337837664044,0.09533333099664418,9,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.01,secondary,25,10,0.046983853622336244,0.02676482446258748,0.08807489818242116,9,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.01,secondary,50,10,0.07905878991859917,0.049653972921827924,0.13403076216584014,10,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.01,secondary,100,10,0.11104702562661825,0.08287436530536083,0.16196534825872,10,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.01,secondary,200,10,0.12692937554090594,0.09431976050684579,0.18564125794278707,10,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.01,secondary,natural,10,0.09789778502427798,0.06693622217947338,0.17695750120360515,10,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.05,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.05,secondary,10,10,0.03545566080863325,0.02601992899912659,0.050980517745102365,10,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.05,secondary,25,10,0.06259450244115349,0.0409427698120618,0.0806084271856562,10,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.05,secondary,50,10,0.08667078732583279,0.06956582849383713,0.10722966594035935,10,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.05,secondary,100,10,0.15403039777586428,0.13024832341086273,0.18430179342590008,10,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.05,secondary,200,10,0.1821598457912302,0.16579701636323269,0.20035251037435536,10,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.05,secondary,natural,10,0.12824620771516382,0.09512749760134398,0.15183121348664588,10,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.1,secondary,0,10,0.0,,,0,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.1,secondary,10,10,0.04553063514406795,0.028792968667390548,0.06778421791915579,10,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.1,secondary,25,10,0.1042123958192952,0.07260270862199333,0.13817193658572013,10,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.1,secondary,50,10,0.14375228645648225,0.11631543441852163,0.1722420054480393,10,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.1,secondary,100,10,0.1702856160043417,0.14350917318617143,0.20120291912858593,10,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.1,secondary,200,10,0.17566616184781353,0.148102793450336,0.19693502133027835,10,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.1,secondary,natural,10,0.1595478107144409,0.13515346937097034,0.1856856184548598,10,D-post-hoc-diagnostic
