scope,population,alpha,seed,difference,learner,contrast,level
primary-set,own-domain,0.1,320,-0.019646892301074192,fedavg,placebo-effect,
primary-set,federation-wide,0.1,320,-0.008761991272724923,fedavg,placebo-effect,
primary-set,own-domain,0.01,321,0.0029728472585615617,fedavg,placebo-effect,
primary-set,federation-wide,0.01,321,0.002353241969463349,fedavg,placebo-effect,
primary-set,own-domain,0.05,321,0.030832648211021496,fedavg,placebo-effect,
primary-set,federation-wide,0.05,321,0.01510504399897955,fedavg,placebo-effect,
primary-set,own-domain,0.1,321,-0.03189098516361388,fedavg,placebo-effect,
primary-set,federation-wide,0.1,321,-0.029919942276535383,fedavg,placebo-effect,
primary-set,own-domain,0.01,322,-0.033972475515028744,fedavg,placebo-effect,
primary-set,federation-wide,0.01,322,-0.005655433198163695,fedavg,placebo-effect,
primary-set,own-domain,0.05,322,-0.02138888888888879,fedavg,placebo-effect,
primary-set,federation-wide,0.05,322,0.013178086635463604,fedavg,placebo-effect,
primary-set,own-domain,0.1,322,0.005304373522458605,fedavg,placebo-effect,
primary-set,federation-wide,0.1,322,0.011054563266230999,fedavg,placebo-effect,
primary-set,own-domain,0.01,323,-0.026548678079290344,fedavg,placebo-effect,
primary-set,federation-wide,0.01,323,-0.022025757573010896,fedavg,placebo-effect,
primary-set,own-domain,0.05,323,-0.10930662646720046,fedavg,placebo-effect,
primary-set,federation-wide,0.05,323,-0.035712226863281904,fedavg,placebo-effect,
primary-set,own-domain,0.1,323,0.0058844759692840976,fedavg,placebo-effect,
primary-set,federation-wide,0.1,323,-0.02614002329617704,fedavg,placebo-effect,
primary-set,own-domain,0.01,324,-0.0026681981598475346,fedavg,placebo-effect,
primary-set,federation-wide,0.01,324,-0.0031045802597929606,fedavg,placebo-effect,
primary-set,own-domain,0.05,324,-0.018461426013465232,fedavg,placebo-effect,
primary-set,federation-wide,0.05,324,-0.0052488369956705805,fedavg,placebo-effect,
primary-set,own-domain,0.1,324,-0.008761342113153714,fedavg,placebo-effect,
primary-set,federation-wide,0.1,324,-0.012586178865054143,fedavg,placebo-effect,
