set,population,family,dose,seeds,mean_ctk,ci_low,ci_high,evidence_class
primary-set,federation-wide,revmob,50,10,0.3718906617491933,0.23200511278453945,0.49725185341395695,D-post-hoc-diagnostic
primary-set,federation-wide,revmob,natural,10,0.38338981977111936,0.2426636449047958,0.5027983050542927,D-post-hoc-diagnostic
replication-set,federation-wide,dnotua,0,10,0.0,,,D-post-hoc-diagnostic
replication-set,federation-wide,dnotua,10,10,0.021257587166823907,-0.006602303004144763,0.10183831446620581,D-post-hoc-diagnostic
replication-set,federation-wide,dnotua,100,10,-0.02362196791530083,-0.0891002180075727,-0.004406835057017067,D-post-hoc-diagnostic
replication-set,federation-wide,dnotua,200,10,0.02564236028138738,-0.00189608745702852,0.10515160407425879,D-post-hoc-diagnostic
replication-set,federation-wide,dnotua,25,10,-0.003090402939685927,-0.01162591295059583,0.005182261055648641,D-post-hoc-diagnostic
replication-set,federation-wide,dnotua,50,10,-0.02452626308583452,-0.09850982765842442,0.0009932730207431173,D-post-hoc-diagnostic
replication-set,federation-wide,dnotua,natural,10,0.07128885975359403,0.002243887524452977,0.329657949756602,D-post-hoc-diagnostic
replication-set,federation-wide,domob,0,10,0.0,,,D-post-hoc-diagnostic
replication-set,federation-wide,domob,10,10,0.030684269686745192,0.012193662238254197,0.04787097949281771,D-post-hoc-diagnostic
replication-set,federation-wide,domob,100,10,0.15285950232823198,0.09990214207459658,0.21601301603333328,D-post-hoc-diagnostic
replication-set,federation-wide,domob,200,10,0.1945556531928188,0.14273197742806706,0.25731164749466784,D-post-hoc-diagnostic
replication-set,federation-wide,domob,25,10,0.08286225257952158,0.045721729583644975,0.15377185120875966,D-post-hoc-diagnostic
replication-set,federation-wide,domob,50,10,0.11827772295236319,0.07179509225379174,0.18622361097263063,D-post-hoc-diagnostic
replication-set,federation-wide,domob,natural,10,0.11705248118258382,0.06266903213694383,0.19557765624500784,D-post-hoc-diagnostic
replication-set,federation-wide,inmobi,0,10,0.0,,,D-post-hoc-diagnostic
replication-set,federation-wide,inmobi,10,10,0.05057698489008947,0.017021304890920217,0.12500006356618307,D-post-hoc-diagnostic
replication-set,federation-wide,inmobi,100,10,0.15247670041380715,0.08526702234309555,0.21970339203996006,D-post-hoc-diagnostic
replication-set,federation-wide,inmobi,200,10,0.21081007300246096,0.12759386308703852,0.3155821668610211,D-post-hoc-diagnostic
replication-set,federation-wide,inmobi,25,10,0.08051776769374627,0.035004743521389096,0.15368690750300862,D-post-hoc-diagnostic
replication-set,federation-wide,inmobi,50,10,0.126151685855451,0.0729254127564264,0.19624835821462688,D-post-hoc-diagnostic
