set,population,families,units,var_between_family,var_within_seed,icc_family,icc_lo,icc_hi,eta2_family,p_value,evidence_class
primary-set,federation-wide,7,70,0.032531672560706944,0.010858232139483738,0.749752109056003,0.3437897265943772,0.8662835798908515,0.7467461507558238,5.050336945247901e-17,D-post-hoc-diagnostic
primary-set,own-domain,7,63,0.0406814588155515,0.027965479562899544,0.5926186917656012,0.04955067294804229,0.7593458967193599,0.6002630719578466,1.1608508261817144e-9,D-post-hoc-diagnostic
replication-set,federation-wide,8,77,0.010896417145539034,0.027588216591785574,0.28313682858234046,0.09957993918706821,0.5610760353721125,0.32742625865605546,0.00019263260098206688,D-post-hoc-diagnostic
replication-set,own-domain,7,57,0.012235981213893484,0.04031505112058549,0.2328399780239027,0.0,0.6521817165618489,0.29146789468849005,0.006516908359921538,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,15,147,0.02175305654482772,0.019603451285005152,0.5259887182528494,0.20889186054035627,0.7764538401491827,0.5573609469125858,2.1952752370760525e-17,D-post-hoc-diagnostic
pooled-family-sets,own-domain,14,120,0.025286115631907788,0.03379074916558159,0.4280206087202919,0.161581816961448,0.6908223387254362,0.47508697639144054,4.0083622606378975e-10,D-post-hoc-diagnostic
