scope,population,alpha,seed,difference,learner,contrast,level
primary-set,federation-wide,0.1,310,-0.01112715828543509,central,ctk-at-dose,10
primary-set,own-domain,0.01,311,0.10279263614196135,central,ctk-at-dose,10
primary-set,federation-wide,0.01,311,0.06184258185972347,central,ctk-at-dose,10
primary-set,own-domain,0.05,311,0.04291833334724632,central,ctk-at-dose,10
primary-set,federation-wide,0.05,311,0.043731954002718565,central,ctk-at-dose,10
primary-set,own-domain,0.1,311,0.08325789966851505,central,ctk-at-dose,10
primary-set,federation-wide,0.1,311,0.06183638508333161,central,ctk-at-dose,10
primary-set,own-domain,0.01,312,-0.04728327795533266,central,ctk-at-dose,10
primary-set,federation-wide,0.01,312,-0.0419763953349451,central,ctk-at-dose,10
primary-set,own-domain,0.05,312,0.02981932783409058,central,ctk-at-dose,10
primary-set,federation-wide,0.05,312,0.029528098852985407,central,ctk-at-dose,10
primary-set,own-domain,0.1,312,0.048941029364529154,central,ctk-at-dose,10
primary-set,federation-wide,0.1,312,0.10054513135769139,central,ctk-at-dose,10
primary-set,own-domain,0.01,313,0.016056732719473013,central,ctk-at-dose,10
primary-set,federation-wide,0.01,313,0.028971806746783957,central,ctk-at-dose,10
primary-set,own-domain,0.05,313,0.027098156484098523,central,ctk-at-dose,10
primary-set,federation-wide,0.05,313,0.03661815809877761,central,ctk-at-dose,10
primary-set,own-domain,0.1,313,0.004148321316962189,central,ctk-at-dose,10
primary-set,federation-wide,0.1,313,0.04448353974269281,central,ctk-at-dose,10
primary-set,own-domain,0.01,314,0.06085406663333898,central,ctk-at-dose,10
primary-set,federation-wide,0.01,314,0.06588199712356133,central,ctk-at-dose,10
primary-set,own-domain,0.05,314,0.04577770870441533,central,ctk-at-dose,10
primary-set,federation-wide,0.05,314,0.07665409968726083,central,ctk-at-dose,10
primary-set,own-domain,0.1,314,0.0643662976237388,central,ctk-at-dose,10
primary-set,federation-wide,0.1,314,0.0858198904230793,central,ctk-at-dose,10
primary-set,own-domain,0.01,315,0.21822175498956692,central,ctk-at-dose,10
