hypothesis,scope,learner,population,alpha,contrast,level,seed_count,mean,median,positive_seeds,ci_low,ci_high,alternative,null_reference,p_value,p_holm,margin,above_margin,within_band,above_noninferiority
H-DOSE-1,primary-set,central,federation-wide,0.01,ctk-at-dose,25,10,0.06757167034562148,0.06123514397743753,10,0.046222330752069246,0.09803517196184423,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,own-domain,0.05,ctk-at-dose,25,10,0.0714747955916636,0.06804781061922666,9,0.03816422916300946,0.11104207255217774,greater,0.0,0.0029296875,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,federation-wide,0.05,ctk-at-dose,25,10,0.09846441081914405,0.09868353491312404,10,0.07237082473468998,0.12230629626388467,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,own-domain,0.1,ctk-at-dose,25,10,0.08897765965115711,0.11887789179635821,8,0.04709894578687863,0.12232317973738292,greater,0.0,0.0048828125,0.009765625,0.03,true,false,true
H-DOSE-1,primary-set,central,federation-wide,0.1,ctk-at-dose,25,10,0.11269553896924862,0.10968111277195977,10,0.08088960444177956,0.1460401602920025,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,federation-wide,0.01,ctk-at-dose,25,10,0.02599562053768223,0.024076881644497297,8,0.01159546283179928,0.04717724404580901,greater,0.0,0.0068359375,0.0146484375,0.03,false,false,true
H-DOSE-1,replication-set,central,federation-wide,0.05,ctk-at-dose,25,10,0.05416179350804744,0.04807712053253754,10,0.04042893601281948,0.07489419577504368,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,federation-wide,0.1,ctk-at-dose,25,10,0.0862892770352049,0.07706905773438033,9,0.049548419404776084,0.12937018157919217,greater,0.0,0.001953125,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,own-domain,0.01,ctk-at-dose,25,10,0.026480482094805847,0.008355334369683918,6,0.00727623672008357,0.06481914218998724,greater,0.0,0.080078125,0.16015625,0.03,false,false,true
H-DOSE-1,replication-set,central,own-domain,0.05,ctk-at-dose,25,10,0.053171157066486854,0.05433069841534269,10,0.031077678492462034,0.07780757363759565,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,own-domain,0.1,ctk-at-dose,25,10,0.12313071922916523,0.14424131308389163,10,0.06969765123234983,0.17577536184304135,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,own-domain,0.01,ctk-at-dose,50,10,0.07905878991859919,0.0593995599755424,10,0.04946121988528633,0.13354464837340274,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,federation-wide,0.01,ctk-at-dose,50,10,0.06783573996728764,0.06097485030853246,10,0.04972086006873069,0.08992421665074952,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,own-domain,0.05,ctk-at-dose,50,10,0.08667078732583282,0.07785657660494022,10,0.07045515371821905,0.10809734048860745,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,federation-wide,0.05,ctk-at-dose,50,10,0.10151974335770989,0.10328550874786707,10,0.0910842600194392,0.11159725721851724,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,own-domain,0.1,ctk-at-dose,50,10,0.14375228645648228,0.1397149305089171,10,0.11685677006868596,0.17303662123508556,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,federation-wide,0.1,ctk-at-dose,50,10,0.13518305068701944,0.12878160540743677,10,0.11570972111039908,0.1536894272945603,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,own-domain,0.01,ctk-at-dose,50,10,0.11493808280722054,0.1052476022344328,10,0.07106161599097294,0.1774087776822867,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,federation-wide,0.01,ctk-at-dose,50,10,0.10296253719706575,0.09688315329598135,10,0.07271786038058536,0.138392155828028,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,own-domain,0.05,ctk-at-dose,50,10,0.11341761300703176,0.08224612815822283,10,0.08192449618082953,0.16570578854840376,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,federation-wide,0.05,ctk-at-dose,50,10,0.13960448785509016,0.14273313231624005,10,0.123814749426948,0.15814932974870835,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,own-domain,0.1,ctk-at-dose,50,10,0.12472667203811139,0.1331625794510384,10,0.08955332377043349,0.1630048017483513,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,federation-wide,0.1,ctk-at-dose,50,10,0.14851545260379515,0.15928012939060943,10,0.12092397117389242,0.17340272319657687,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,federation-wide,0.01,ctk-at-dose,50,10,0.035828763887612185,0.037248501918868644,8,0.016275056174467138,0.05443623853742314,greater,0.0,0.0048828125,0.0146484375,0.03,false,false,true
H-DOSE-1,replication-set,central,federation-wide,0.05,ctk-at-dose,50,10,0.06649329877798353,0.0569358184978804,10,0.05484336094380469,0.09307191100872254,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,federation-wide,0.1,ctk-at-dose,50,10,0.12225524602128994,0.13014703717270842,10,0.07651735810598814,0.15257353300497553,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,own-domain,0.01,ctk-at-dose,50,10,0.03644652913538989,0.01125208538245645,9,0.012371412804625658,0.08504076462010159,greater,0.0,0.009765625,0.029296875,0.03,false,false,true
H-DOSE-1,replication-set,central,own-domain,0.05,ctk-at-dose,50,10,0.05659765930548599,0.04793173139220855,10,0.03396332410341181,0.10217720738339647,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,own-domain,0.1,ctk-at-dose,50,10,0.16466723771931774,0.19012338676364138,9,0.09637665896095368,0.20380585446130126,greater,0.0,0.001953125,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,own-domain,0.01,ctk-at-dose,100,10,0.11104702562661825,0.08246312053107904,10,0.08227653216146957,0.16017954903997653,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,federation-wide,0.01,ctk-at-dose,100,10,0.0988732103570251,0.10083207883232728,10,0.0790189921107658,0.12024781073106253,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,own-domain,0.05,ctk-at-dose,100,10,0.1540303977758643,0.1543097327209127,10,0.13026957448190893,0.1828079678873395,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,federation-wide,0.05,ctk-at-dose,100,10,0.1636318915956633,0.17406586178394318,10,0.13406032310365135,0.18820022107300666,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,own-domain,0.1,ctk-at-dose,100,10,0.17028561600434172,0.16836598879113124,10,0.14313608430518512,0.20155636538290175,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,federation-wide,0.1,ctk-at-dose,100,10,0.1700944120469222,0.16875452167372545,10,0.15245668055561418,0.18643365447459537,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,own-domain,0.01,ctk-at-dose,100,10,0.15934159531241,0.15068170592234806,10,0.11140568548662025,0.21548891035753612,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,federation-wide,0.01,ctk-at-dose,100,10,0.13976044588495246,0.13026319876503145,10,0.1119326344456188,0.17727310052084078,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,own-domain,0.05,ctk-at-dose,100,10,0.1506888001690531,0.13878614801232378,10,0.11871725487696515,0.19164341597069515,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,federation-wide,0.05,ctk-at-dose,100,10,0.1961749527353795,0.19679464073915134,10,0.16582153586755283,0.2299953944193906,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,own-domain,0.1,ctk-at-dose,100,10,0.14752695490919573,0.14181388318785765,10,0.1052147050641882,0.18480158923298884,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,federation-wide,0.1,ctk-at-dose,100,10,0.19234120435437557,0.20739938823881876,10,0.1556305134496875,0.22031155232243216,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,federation-wide,0.01,ctk-at-dose,100,10,0.062029779807258434,0.05506674507930844,10,0.04480445572509692,0.0806132959321814,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,federation-wide,0.05,ctk-at-dose,100,10,0.13356697943130616,0.15156605201929602,10,0.0992468983616582,0.16389491698273784,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,federation-wide,0.1,ctk-at-dose,100,10,0.14926765299812347,0.15122513172870855,10,0.12028446585583363,0.17318627837718373,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,own-domain,0.01,ctk-at-dose,100,10,0.055784953735109735,0.05327053865686966,10,0.03319634805001855,0.09312515715433138,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,own-domain,0.05,ctk-at-dose,100,10,0.15636511542300088,0.18993288650059958,10,0.09931195559957275,0.2023885133768852,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,own-domain,0.1,ctk-at-dose,100,10,0.1948868843772945,0.2137468202695964,10,0.13069015680387347,0.2319520012483179,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,own-domain,0.01,ctk-at-dose,200,10,0.12692937554090591,0.09582964331811747,10,0.09410569605443364,0.1853247039086116,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,federation-wide,0.01,ctk-at-dose,200,10,0.11479227103280713,0.10743057465141408,10,0.09279395821430406,0.1395521569141005,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,own-domain,0.05,ctk-at-dose,200,10,0.18215984579123026,0.18962683658727134,10,0.16573648168018182,0.20030996349608524,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,federation-wide,0.05,ctk-at-dose,200,10,0.18391589887279683,0.18824578993815183,10,0.1657539065800045,0.19903262303042465,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,own-domain,0.1,ctk-at-dose,200,10,0.17566616184781353,0.18507859517788633,10,0.14686192060613412,0.19645798673613046,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,federation-wide,0.1,ctk-at-dose,200,10,0.1857716929088018,0.19083088039472756,10,0.16111379858935512,0.20893669007821114,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,own-domain,0.01,ctk-at-dose,200,10,0.1834337991922177,0.1655733312207126,10,0.13162703150194427,0.252865984592192,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,federation-wide,0.01,ctk-at-dose,200,10,0.16963652748004326,0.16589032486502078,10,0.13913160181648898,0.20601197730091786,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,own-domain,0.05,ctk-at-dose,200,10,0.17908157884003836,0.1665486577251792,10,0.14773570366057875,0.21409854401928508,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,federation-wide,0.05,ctk-at-dose,200,10,0.21657741621006094,0.21782242257640155,10,0.19895950265900783,0.24275495465480396,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,own-domain,0.1,ctk-at-dose,200,10,0.16571674278753004,0.17616220191015425,10,0.11629160644500869,0.19574574302031733,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,federation-wide,0.1,ctk-at-dose,200,10,0.2269572312762993,0.23591275810906331,10,0.18529636492413276,0.2544473869376966,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,federation-wide,0.01,ctk-at-dose,200,10,0.0652399957049702,0.07492104605922295,10,0.043425935634636384,0.08220544650112772,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,federation-wide,0.05,ctk-at-dose,200,10,0.15340949554334,0.1655434759291805,10,0.12013480539240513,0.18037902415216825,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,federation-wide,0.1,ctk-at-dose,200,10,0.1475324419294749,0.15035967377243753,10,0.10855359859349782,0.17566284508767907,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,own-domain,0.01,ctk-at-dose,200,10,0.06039741112536042,0.05112125940694538,10,0.03753978901069598,0.11211719480646751,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,own-domain,0.05,ctk-at-dose,200,10,0.18461833457536908,0.21642908454015786,10,0.12042512591617635,0.22652643251070748,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,replication-set,central,own-domain,0.1,ctk-at-dose,200,10,0.18665542946786,0.2164189107204938,10,0.12857253650655792,0.22443291828287432,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,own-domain,0.01,ctk-natural-peer-present,,10,0.09789778502427801,0.07069204852456762,10,0.0673619286976101,0.18103091712388542,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,federation-wide,0.01,ctk-natural-peer-present,,10,0.10503892540164159,0.10433372297899539,10,0.08466433274374285,0.14297123359942435,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,own-domain,0.05,ctk-natural-peer-present,,10,0.12824620771516382,0.13731999987431062,10,0.0946410031744134,0.15180439447576563,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,federation-wide,0.05,ctk-natural-peer-present,,10,0.1281961134800235,0.12329119149658022,10,0.10882132627288031,0.14942436744843135,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,own-domain,0.1,ctk-natural-peer-present,,10,0.1595478107144409,0.15751305293488432,10,0.1348703684103414,0.18530218204530122,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,pooled-family-sets,central,federation-wide,0.1,ctk-natural-peer-present,,10,0.15508707351550285,0.14696894165646157,10,0.13341878791824438,0.17774036843678548,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,own-domain,0.01,ctk-natural-peer-present,,10,0.12782208582426946,0.10669597401817456,10,0.08681117683687932,0.22260196631673285,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
H-DOSE-1,primary-set,central,federation-wide,0.01,ctk-natural-peer-present,,10,0.13066038251723724,0.12713670672932031,10,0.10199163238286937,0.17540469999931801,greater,0.0,0.0009765625,0.005859375,0.03,true,false,true
