set,learner,population,alpha,role,segment,n,increment,ci_low,ci_high,per10,per10_low,per10_high,evidence_class
pooled-family-sets,fedavg,own-domain,0.05,secondary,0->10,10,0.027148647798373237,0.017234879050196317,0.036434415721927044,0.027148647798373237,0.017234879050196317,0.036434415721927044,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.05,secondary,10->25,10,0.01940187221435733,0.006100129123463574,0.03015145780928355,0.01293458147623822,0.0040667527489757155,0.0201009718728557,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.05,secondary,25->50,10,0.02772379431207616,0.01866207286297566,0.0344150080278115,0.011089517724830465,0.007464829145190265,0.013766003211124601,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.05,secondary,50->100,10,0.05037429653994026,0.025098408871995374,0.07870096295277274,0.010074859307988052,0.005019681774399075,0.015740192590554546,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.05,secondary,100->200,10,0.024867774008909094,0.008168940079643519,0.04746011812647494,0.00248677740089091,0.0008168940079643519,0.004746011812647494,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.1,secondary,0->10,10,0.05094502300582553,0.02686172828287393,0.0767769845294379,0.05094502300582553,0.02686172828287393,0.0767769845294379,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.1,secondary,10->25,10,0.02525950043462703,0.012810098506156735,0.04542238379732809,0.016839666956418017,0.008540065670771157,0.030281589198218724,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.1,secondary,25->50,10,0.030644793564984,0.018974977495645202,0.04790032672866633,0.012257917425993602,0.007589990998258082,0.019160130691466534,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.1,secondary,50->100,10,0.03502236236241949,0.02172642410388684,0.0632614024542492,0.007004472472483899,0.004345284820777368,0.012652280490849842,D-post-hoc-diagnostic
pooled-family-sets,fedavg,own-domain,0.1,secondary,100->200,10,0.021817132394562264,0.015743338102501725,0.02720040407681034,0.0021817132394562266,0.0015743338102501725,0.0027200404076810343,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.01,secondary,0->10,10,0.029823184643642614,0.014697183019359147,0.04886842648737748,0.029823184643642614,0.014697183019359147,0.04886842648737748,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.01,secondary,10->25,10,0.015875879168358763,0.005230953300078389,0.031156408661176763,0.010583919445572508,0.0034873022000522593,0.020770939107451175,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.01,secondary,25->50,10,0.022136676155286285,0.012140167210410396,0.03535162483891617,0.008854670462114514,0.004856066884164159,0.01414064993556647,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.01,secondary,50->100,10,0.031037470389737403,0.021897403280942092,0.050907019376302876,0.006207494077947481,0.0043794806561884185,0.010181403875260576,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.01,secondary,100->200,10,0.015919060675782082,0.0006045822136220536,0.026274715858569858,0.0015919060675782084,0.00006045822136220536,0.002627471585856986,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.05,secondary,0->10,10,0.03956790940658349,0.028597721753242322,0.04585474691390882,0.03956790940658349,0.028597721753242322,0.04585474691390882,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.05,secondary,10->25,10,0.03568043269307629,0.01934887502573608,0.060325650581450424,0.023786955128717525,0.012899250017157388,0.04021710038763361,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.05,secondary,25->50,10,0.02627140125805009,0.009345568966380419,0.041662720943107856,0.010508560503220037,0.0037382275865521677,0.016665088377243144,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.05,secondary,50->100,10,0.0621121482379534,0.041704627768934695,0.08270233225559306,0.012422429647590681,0.008340925553786939,0.016540466451118615,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.05,secondary,100->200,10,0.020284007277133583,0.0009457055346033584,0.04655242232394229,0.0020284007277133584,0.00009457055346033584,0.004655242232394229,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.1,secondary,0->10,10,0.04775141805038421,0.03256354388427802,0.07959310001697878,0.04775141805038421,0.03256354388427802,0.07959310001697878,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.1,secondary,10->25,10,0.05139905309675698,0.030106358903334556,0.07081679246517382,0.034266035397837985,0.02007090593555637,0.04721119497678254,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.1,secondary,25->50,10,0.03603257953987826,0.019871087505569988,0.05162818242800527,0.014413031815951306,0.007948435002227996,0.02065127297120211,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.1,secondary,50->100,10,0.034911361359902734,0.02366967519927414,0.046977059629287755,0.006982272271980547,0.0047339350398548285,0.009395411925857551,D-post-hoc-diagnostic
pooled-family-sets,central,federation-wide,0.1,secondary,100->200,10,0.015677280861879625,-0.00018759331625575388,0.026247889733554464,0.0015677280861879626,-0.00001875933162557539,0.0026247889733554465,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.01,secondary,0->10,10,0.038028916788302454,0.014989337837664044,0.09533333099664418,0.038028916788302454,0.014989337837664044,0.09533333099664418,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.01,secondary,10->25,10,0.008954936834033792,-0.0051298628105024046,0.028012382463664335,0.005969957889355861,-0.0034199085403349362,0.018674921642442888,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.01,secondary,25->50,10,0.03207493629626292,0.008458742021173336,0.052769097700506626,0.01282997451850517,0.0033834968084693346,0.02110763908020265,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.01,secondary,50->100,10,0.0319882357080191,0.015266397066665934,0.0523469004553054,0.00639764714160382,0.003053279413333187,0.010469380091061081,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.01,secondary,100->200,10,0.015882349914287656,-0.002083862604967526,0.037324294103255294,0.0015882349914287657,-0.0002083862604967526,0.0037324294103255294,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.05,secondary,0->10,10,0.03545566080863325,0.02601992899912659,0.050980517745102365,0.03545566080863325,0.02601992899912659,0.050980517745102365,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.05,secondary,10->25,10,0.02713884163252025,0.005091060222907524,0.04499491059986342,0.01809256108834683,0.0033940401486050155,0.029996607066575615,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.05,secondary,25->50,10,0.024076284884679288,0.00083570492851582,0.04970841908432476,0.009630513953871716,0.00033428197140632806,0.019883367633729904,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.05,secondary,50->100,10,0.06735961045003151,0.03806745564023975,0.09548817412981724,0.013471922090006304,0.007613491128047951,0.01909763482596345,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.05,secondary,100->200,10,0.02812944801536592,0.010492372756694358,0.05743462611772271,0.0028129448015365923,0.0010492372756694358,0.005743462611772271,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.1,secondary,0->10,10,0.04553063514406795,0.028792968667390548,0.06778421791915579,0.04553063514406795,0.028792968667390548,0.06778421791915579,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.1,secondary,10->25,10,0.058681760675227256,0.03161492953676588,0.08405948806434538,0.039121173783484835,0.021076619691177252,0.05603965870956358,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.1,secondary,25->50,10,0.03953989063718704,0.01565689514080668,0.07432044995627664,0.015815956254874818,0.0062627580563226724,0.029728179982510657,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.1,secondary,50->100,10,0.026533329547859454,0.007519923521141198,0.0438566248708708,0.005306665909571891,0.0015039847042282398,0.00877132497417416,D-post-hoc-diagnostic
pooled-family-sets,central,own-domain,0.1,secondary,100->200,10,0.005380545843471839,-0.012723430791397863,0.018633680330082954,0.0005380545843471839,-0.0012723430791397863,0.0018633680330082955,D-post-hoc-diagnostic
