predictor,families,spearman_rho,ci_low,ci_high,evidence_class
local_recall,32,-0.1539589442815249,-0.5070966905070602,0.2523481977144947,D-post-hoc-diagnostic
full_recall,32,0.23607038123167154,-0.1422797982042424,0.5643182051438208,D-post-hoc-diagnostic
headroom,32,0.5164956011730205,0.13246383296573222,0.7932692969175895,D-post-hoc-diagnostic
pooling,32,-0.0813782991202346,-0.44785467195086953,0.26798516713655407,D-post-hoc-diagnostic
novelty,32,0.3918621700879765,0.049969365585398606,0.638705700816071,D-post-hoc-diagnostic
log_rows,32,0.3115835777126099,-0.013435149900886467,0.6055331862022426,D-post-hoc-diagnostic
trials,32,0.375366568914956,0.03328507543459036,0.6168233067287476,D-post-hoc-diagnostic
