family,ctk,local_recall,full_recall,absent_recall,peer_recall,trials,cells,seeds,novelty,min_trials,meets_threshold,rows,family_set,headroom,pooling,log_rows,low_headroom,exposure_limited,poor_full_single_class,pooling_responsive,negative_transfer_sensitive,n_labels,labels,evidence_class
leadbolt,0.24048741830231912,0.2867704870599975,0.6082878195188373,0.3649046040041213,0.6053920223064404,799.1,10,10,2.548219130907952,722,true,3879,large-1,0.32151733245883973,0.07813411694412375,8.263332667439967,false,true,false,true,false,2,exposure_limited pooling_responsive,D-post-hoc-diagnostic
mobwin,0.08246294901480979,0.33592436282590865,0.3043459943660435,0.20135796345508897,0.28382091246989877,112.2,10,10,1.7073098259750807,78,true,578,large-3,-0.03157836845986517,-0.13456639937081968,6.359573868672378,true,false,true,false,true,3,poor_full_single_class low_headroom negative_transfer_sensitive,D-post-hoc-diagnostic
plankton,0.06212467484716524,0.4912703510882642,0.6953917563979245,0.6230525169040098,0.685177191751175,238.4,10,10,2.1649364120189465,182,true,1206,large-3,0.20412140530966028,0.13178216581574553,7.095064377287131,false,true,false,true,false,2,exposure_limited pooling_responsive,D-post-hoc-diagnostic
revmob,0.2845868555724275,0.24088768105222047,0.5809809698655879,0.20906779177309193,0.4936546473455194,629.8,10,10,3.083869284940873,449,true,3039,large-3,0.3400932888133674,-0.031819889279128544,8.019283792916793,false,false,true,false,true,2,poor_full_single_class negative_transfer_sensitive,D-post-hoc-diagnostic
smspay,-0.0008511609538264797,0.49910725162185515,0.5165543877574268,0.5147734344604317,0.5139222735066051,105.3,10,10,2.540952652814099,86,false,508,large-4,0.01744713613557164,0.015666182838576515,6.230481447578482,true,false,true,false,false,2,poor_full_single_class low_headroom,D-post-hoc-diagnostic
smsreg,0.0767720823722899,0.48034933971446386,0.6072047737813562,0.503011942349407,0.5797840247216969,1313.0,10,10,2.4139416968903804,1243,true,6367,large-2,0.12685543406689231,0.022662602634943185,8.758883680017025,false,true,false,false,false,1,exposure_limited,D-post-hoc-diagnostic
umpay,-0.0077868852459016535,0.40491803278688526,0.28893442622950816,0.3221311475409836,0.31434426229508194,70.5,2,2,1.906638566024467,61,false,349,large-3,-0.1159836065573771,-0.08278688524590166,5.855071922202427,true,false,true,false,false,2,poor_full_single_class low_headroom,D-post-hoc-diagnostic
utchi,0.1740681704413943,0.0036313911938598634,0.24057739935189631,0.017709109341345453,0.19177727978273976,435.25,8,8,3.1937605805164937,233,true,1379,large-2,0.23694600815803646,0.01407771814748559,7.229113877793302,false,false,true,false,false,1,poor_full_single_class,D-post-hoc-diagnostic
utilcode,0.07768025711297302,0.4323122609950417,0.575516074468658,0.4645375546683371,0.5422178117813102,102.9,10,10,5.13401245218008,83,true,486,large-2,0.14320381347361633,0.03222529367329541,6.186208623900494,false,false,true,true,false,2,poor_full_single_class pooling_responsive,D-post-hoc-diagnostic
wooboo,0.0009646757749334045,0.1672740503964048,0.1184071059545019,0.10833933145340062,0.10930400722833403,217.3,10,10,1.844845989625338,110,false,935,large-4,-0.0488669444419029,-0.058934718943004186,6.840546529288687,true,false,true,false,false,2,poor_full_single_class low_headroom,D-post-hoc-diagnostic
youmi,0.026799457637744127,0.4037773523604849,0.42428040684665475,0.397151153830403,0.42395061146814716,700.1,10,10,1.533335415019837,620,false,3254,large-2,0.020503054486169847,-0.006626198530081895,8.087640287778983,true,false,true,false,false,2,poor_full_single_class low_headroom,D-post-hoc-diagnostic
