set,population,alpha,contrast,n,mean,median,pos,ci_low,ci_high,gate,evidence_class
primary-set,own-domain,0.1,ctk_med,10,0.10362217339017979,0.12134447780218441,9,0.06497991006300737,0.1370065361503426,true,D-post-hoc-diagnostic
primary-set,own-domain,0.1,trim_minus_mean,10,-0.0020097284551657663,-0.002300144249408555,4,-0.0241453587352301,0.016428586075505833,true,D-post-hoc-diagnostic
primary-set,own-domain,0.1,med_minus_mean,10,0.0038640894312711852,-0.0008358589951803653,5,-0.03499322891709339,0.04227642243328799,false,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,placebo_eff,10,0.0031828058891132842,0.0035160270408852176,7,-0.0012178958415670076,0.00768667653483221,true,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,ctk_minus_pl,10,0.04673218872629443,0.04706609005721325,10,0.03137499903894033,0.06402418002860061,true,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,ctk_mean,10,0.049914994615407715,0.04546334424269512,10,0.03473622840514136,0.07009996016093441,true,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,ctk_trim,10,0.04752712054957511,0.04810775816698576,8,0.023908316422107702,0.07500199997567765,false,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,ctk_med,10,0.03152410558680346,0.02888409611900426,8,0.015049931442657524,0.05397506334438297,false,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,trim_minus_mean,10,-0.0023878740658325962,-0.005636668466230408,2,-0.015429438167397409,0.018554531308823265,true,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,med_minus_mean,10,-0.01839088902860425,-0.01612166852049412,3,-0.05196308246939914,-0.0031276294449326483,false,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,placebo_eff,10,0.0003524657185727281,0.0017101335564961733,6,-0.011340106016738875,0.008178352221177288,true,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,ctk_minus_pl,10,0.05390826834545555,0.037633258079626614,9,0.030702485674220476,0.07832488110481184,true,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,ctk_mean,10,0.054260734064028274,0.03893373600713906,9,0.031204079248094718,0.07926256387291788,true,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,ctk_trim,10,0.042006638175058016,0.044771820800965145,8,0.016967656425605975,0.06486103189313955,false,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,ctk_med,10,0.09807104864906459,0.08764631615440197,10,0.06012374021123844,0.1372761093719753,true,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,trim_minus_mean,10,-0.012254095888970253,-0.003442001481950178,4,-0.04150126334388037,0.0007541429506478601,false,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,med_minus_mean,10,0.04381031458503633,0.039180208469436845,7,0.020041446981164272,0.06723753525093286,true,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,placebo_eff,10,-0.002756249023040351,-0.00414715495218124,4,-0.009226500560027225,0.004886451413928469,true,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,ctk_minus_pl,10,0.12644504734125944,0.1360873156170828,10,0.08792754422017612,0.16089681846128207,true,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,ctk_mean,10,0.1236887983182191,0.12976051811689687,10,0.08089404280867853,0.15912542425319542,true,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,ctk_trim,10,0.11624344873911027,0.12972789038307275,10,0.07479969524391493,0.14910786862798248,true,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,ctk_med,10,0.10744735678290347,0.08907991448277683,10,0.061745061765819606,0.15562558061403128,true,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,trim_minus_mean,10,-0.007445349579108844,0.0005637933762388291,5,-0.023362641037326215,0.0037627663599884447,true,D-post-hoc-diagnostic
replication-set,federation-wide,0.1,med_minus_mean,10,-0.01624144153531563,-0.010253663128638294,4,-0.05396855422218631,0.012288246291110184,false,D-post-hoc-diagnostic
replication-set,own-domain,0.01,placebo_eff,10,-0.006077304060033798,-0.0009596585241535438,4,-0.029689485896044056,0.003310857879897762,true,D-post-hoc-diagnostic
replication-set,own-domain,0.01,ctk_minus_pl,10,0.029649812246422817,0.01793980683553402,9,0.003696426256801217,0.05856743188824025,false,D-post-hoc-diagnostic
replication-set,own-domain,0.01,ctk_mean,10,0.023572508186389014,0.011573729424202667,7,-0.0004616330856267617,0.06078439841884631,false,D-post-hoc-diagnostic
replication-set,own-domain,0.01,ctk_trim,10,0.03949319907359574,0.04300327117211949,9,0.0221393319637775,0.0563521247663814,false,D-post-hoc-diagnostic
replication-set,own-domain,0.01,ctk_med,10,0.018396525606048215,0.0066634999985954926,5,-0.002026226686163063,0.05220978410092081,false,D-post-hoc-diagnostic
replication-set,own-domain,0.01,trim_minus_mean,10,0.01592069088720672,0.010857547205859108,6,-0.014569357260777769,0.04172759267737391,true,D-post-hoc-diagnostic
replication-set,own-domain,0.01,med_minus_mean,10,-0.005175982580340803,-0.013339303204787302,2,-0.025670969739116208,0.03341105515184759,true,D-post-hoc-diagnostic
replication-set,own-domain,0.05,placebo_eff,10,-0.010164945845897687,-0.00715441155461132,3,-0.03235793189881744,0.008484817543682155,false,D-post-hoc-diagnostic
replication-set,own-domain,0.05,ctk_minus_pl,10,0.046779949435734866,0.038626374045780634,9,0.024994415337486083,0.07654209017894076,false,D-post-hoc-diagnostic
replication-set,own-domain,0.05,ctk_mean,10,0.03661500358983718,0.025562511402662066,9,0.016838610877662932,0.06404012811078238,false,D-post-hoc-diagnostic
replication-set,own-domain,0.05,ctk_trim,10,0.026208224743680352,0.023047895951539023,7,-0.0014694452704155873,0.05415051412096661,false,D-post-hoc-diagnostic
replication-set,own-domain,0.05,ctk_med,10,0.11031798511809207,0.08320110351035083,10,0.06102561577666163,0.17609750632397092,true,D-post-hoc-diagnostic
replication-set,own-domain,0.05,trim_minus_mean,10,-0.010406778846156825,-0.004535555591322827,4,-0.03335896073091822,0.009072291279350008,false,D-post-hoc-diagnostic
replication-set,own-domain,0.05,med_minus_mean,10,0.07370298152825487,0.060207425232476616,7,0.016427093281560824,0.1412623410266417,true,D-post-hoc-diagnostic
replication-set,own-domain,0.1,placebo_eff,10,-0.011670748581512255,-0.012443877732207315,4,-0.021816733238492397,-0.0015965276815766323,true,D-post-hoc-diagnostic
replication-set,own-domain,0.1,ctk_minus_pl,10,0.16892523947276997,0.17419003246434922,10,0.11579951459850722,0.21234285106993814,true,D-post-hoc-diagnostic
replication-set,own-domain,0.1,ctk_mean,10,0.15725449089125768,0.16352033606273952,10,0.1083654186899227,0.1961399592533131,true,D-post-hoc-diagnostic
replication-set,own-domain,0.1,ctk_trim,10,0.15976465993874384,0.1932569585407447,10,0.09925989404239352,0.20711796448398062,true,D-post-hoc-diagnostic
replication-set,own-domain,0.1,ctk_med,10,0.12638803738990204,0.11684518738029184,10,0.07118590160947001,0.18668116610068433,true,D-post-hoc-diagnostic
replication-set,own-domain,0.1,trim_minus_mean,10,0.0025101690474861453,0.0029107717581331968,6,-0.016390200017341296,0.0177091914586372,true,D-post-hoc-diagnostic
replication-set,own-domain,0.1,med_minus_mean,10,-0.030866453501355647,-0.012600677220175929,4,-0.0842061073988326,0.009186406990025039,false,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,placebo_eff,10,0.000982804565055586,0.002800255616704575,6,-0.0038119787761696847,0.0040996154918313075,true,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,ctk_minus_pl,10,0.05563447360881346,0.05404210487617632,10,0.03680712736151136,0.07463842523949428,true,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,ctk_mean,10,0.056617278173869044,0.05975940723874715,10,0.037755472892263664,0.07350607104246204,true,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,ctk_trim,10,0.05891748721701455,0.05581748626756719,10,0.040214220096697874,0.07890103121700565,true,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,ctk_med,10,0.05569761810256959,0.041422442638717416,10,0.03552119675961027,0.08085841023101689,true,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,trim_minus_mean,10,0.0023002090431455085,-0.001809509645973575,5,-0.006478971601203039,0.013079323604667273,true,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.01,med_minus_mean,10,-0.0009196600712994523,0.00271445660504765,6,-0.021002954060960324,0.013524400393741061,true,D-post-hoc-diagnostic
pooled-family-sets,federation-wide,0.05,placebo_eff,10,-0.0008034973536678997,0.0014166438571028383,5,-0.00814547109994314,0.006038341372050495,true,D-post-hoc-diagnostic
