reading,arm,group,representation,seeds,level,r0,diff,pos,ci_low,ci_high,evidence_class
calibrated,central__full-exposure,revmob,report-json,10,0.16873728073375643,0.31747084707645895,-0.1487335663427025,1,-0.21666431494704946,-0.06855565876143233,D-post-hoc-diagnostic
equal-test-fpr,central__full-exposure,revmob,report-json,10,0.17182576390156656,0.31158842734657916,-0.1397626634450126,2,-0.2084188778773947,-0.06184144805222483,D-post-hoc-diagnostic
calibrated,fedavg-ctk,adwo,call-graph,10,0.13385958238216694,0.06494281472118534,0.06891676766098162,7,0.021497440349271688,0.1225113782365052,D-post-hoc-diagnostic
equal-test-fpr,fedavg-ctk,adwo,call-graph,10,0.12236206537697644,0.05530544050729989,0.06705662486967653,8,0.02345884799535771,0.11220400677430187,D-post-hoc-diagnostic
calibrated,fedavg-ctk,adwo,mcndroid-static,10,0.16800464111795427,0.06494281472118534,0.10306182639676893,9,0.06090771683262716,0.13266748084442176,D-post-hoc-diagnostic
equal-test-fpr,fedavg-ctk,adwo,mcndroid-static,10,0.1470315660960072,0.05530544050729989,0.0917261255887073,10,0.058678828590597795,0.13296120411016993,D-post-hoc-diagnostic
calibrated,fedavg-ctk,adwo,report-json,10,0.03386992812782556,0.06494281472118534,-0.031072886593359772,1,-0.05794949340728243,-0.012744572215355007,D-post-hoc-diagnostic
equal-test-fpr,fedavg-ctk,adwo,report-json,10,0.026225799458029508,0.05530544050729989,-0.029079641049270383,4,-0.06630706132232093,0.005554147897635731,D-post-hoc-diagnostic
calibrated,fedavg-ctk,contrast-macro,call-graph,10,0.3783653701751236,0.22631120485925357,0.15205416531587002,10,0.11867670189726078,0.18025237871833416,D-post-hoc-diagnostic
equal-test-fpr,fedavg-ctk,contrast-macro,call-graph,10,0.37206759881714974,0.21718558200870047,0.15488201680844924,10,0.11877224986765936,0.19038380752063627,D-post-hoc-diagnostic
calibrated,fedavg-ctk,contrast-macro,mcndroid-static,10,0.21408932162318148,0.22631120485925357,-0.012221883236072146,4,-0.03712856319917911,0.014692029204590798,D-post-hoc-diagnostic
equal-test-fpr,fedavg-ctk,contrast-macro,mcndroid-static,10,0.20764000152506285,0.21718558200870047,-0.009545580483637605,3,-0.032160667099430634,0.0024926671777806917,D-post-hoc-diagnostic
calibrated,fedavg-ctk,contrast-macro,report-json,10,0.15259555923147655,0.22631120485925357,-0.07371564562777703,1,-0.10037570861009817,-0.04074429897408662,D-post-hoc-diagnostic
equal-test-fpr,fedavg-ctk,contrast-macro,report-json,10,0.13900721464614563,0.21718558200870047,-0.07817836736255486,1,-0.115781976083114,-0.043570889055434,D-post-hoc-diagnostic
