set,population,alpha,stratum,contrast,seeds,mean,ci_low,ci_high,evidence_class
primary-set,own-domain,0.01,multi<0.9,ctk_med,10,0.12761195775354933,0.07411802396499989,0.21672074627112828,D-post-hoc-diagnostic
primary-set,own-domain,0.01,multi<0.9,trim_minus_mean,10,-0.04043005808709258,-0.0935438056482239,-0.004549589113313749,D-post-hoc-diagnostic
primary-set,own-domain,0.01,multi<0.9,med_minus_mean,10,0.006553050186771844,-0.015172386509268027,0.0384091509783931,D-post-hoc-diagnostic
primary-set,own-domain,0.05,single>=0.9,ctk_mean,10,0.045497649569271534,0.0186547075449021,0.06700985690177204,D-post-hoc-diagnostic
primary-set,own-domain,0.05,single>=0.9,ctk_trim,10,0.04566559779942431,0.012701548866416789,0.1315233321127995,D-post-hoc-diagnostic
primary-set,own-domain,0.05,single>=0.9,ctk_med,10,0.05698055898219595,0.03302131932071113,0.08234696592782535,D-post-hoc-diagnostic
primary-set,own-domain,0.05,single>=0.9,trim_minus_mean,10,0.0001679482301527757,-0.04977794251194012,0.11326984785241159,D-post-hoc-diagnostic
primary-set,own-domain,0.05,single>=0.9,med_minus_mean,10,0.011482909412924408,-0.017348863611952287,0.043868998916591406,D-post-hoc-diagnostic
primary-set,own-domain,0.05,multi<0.9,ctk_mean,10,0.1231051452699314,0.050545398439153844,0.21856383577231975,D-post-hoc-diagnostic
primary-set,own-domain,0.05,multi<0.9,ctk_trim,10,0.14335221199601803,0.08142345840811098,0.24708571308756558,D-post-hoc-diagnostic
primary-set,own-domain,0.05,multi<0.9,ctk_med,10,0.14501279495959624,0.08622000444942941,0.20729675047108065,D-post-hoc-diagnostic
primary-set,own-domain,0.05,multi<0.9,trim_minus_mean,10,0.02024706672608661,0.0005624070619535857,0.04533726026432661,D-post-hoc-diagnostic
primary-set,own-domain,0.05,multi<0.9,med_minus_mean,10,0.02190764968966481,-0.015467113088480169,0.06199497712703926,D-post-hoc-diagnostic
primary-set,own-domain,0.1,single>=0.9,ctk_mean,10,0.04718102297033701,0.02284076779017144,0.06840472501653339,D-post-hoc-diagnostic
primary-set,own-domain,0.1,single>=0.9,ctk_trim,10,0.060989025038142464,0.0490279611575247,0.07746724544701315,D-post-hoc-diagnostic
primary-set,own-domain,0.1,single>=0.9,ctk_med,10,0.07517838767630483,0.058515542530350025,0.10044086838630889,D-post-hoc-diagnostic
primary-set,own-domain,0.1,single>=0.9,trim_minus_mean,10,0.013808002067805455,-0.0014241227735035935,0.05066490155867953,D-post-hoc-diagnostic
primary-set,own-domain,0.1,single>=0.9,med_minus_mean,10,0.027997364705967847,0.005714777973842941,0.05176737910956497,D-post-hoc-diagnostic
primary-set,own-domain,0.1,multi<0.9,ctk_mean,10,0.12920055799110286,0.07305937457626792,0.21044227050256115,D-post-hoc-diagnostic
primary-set,own-domain,0.1,multi<0.9,ctk_trim,10,0.11892612149750292,0.06389701726457864,0.17557120881142874,D-post-hoc-diagnostic
primary-set,own-domain,0.1,multi<0.9,ctk_med,10,0.11530370728275104,0.04079480957968075,0.1786932421914994,D-post-hoc-diagnostic
primary-set,own-domain,0.1,multi<0.9,trim_minus_mean,10,-0.010274436493599957,-0.04585458232177831,0.02197645545267605,D-post-hoc-diagnostic
primary-set,own-domain,0.1,multi<0.9,med_minus_mean,10,-0.013896850708351829,-0.08218742155163374,0.04896597430958386,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,single>=0.9,ctk_mean,10,0.018361647028096128,0.005471473946018481,0.03563603474389472,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,single>=0.9,ctk_trim,10,0.01357254139645932,-0.00034479649466391993,0.03237902253077009,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,single>=0.9,ctk_med,10,-0.005135218897914944,-0.013890742146328183,0.003772611343265981,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,single>=0.9,trim_minus_mean,10,-0.004789105631636809,-0.013580216436850267,0.004439491293232002,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,single>=0.9,med_minus_mean,10,-0.023496865926011072,-0.04671525512672848,-0.011114629164047905,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,multi<0.9,ctk_mean,10,0.11263031919913294,0.07564263768544009,0.1786624203283122,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,multi<0.9,ctk_trim,10,0.12128576781071616,0.07161862856158435,0.19735447935129685,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,multi<0.9,ctk_med,10,0.09418392743601366,0.05610606660656563,0.13097172440323557,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,multi<0.9,trim_minus_mean,10,0.00865544861158322,-0.022357711100508486,0.04062146091014021,D-post-hoc-diagnostic
replication-set,federation-wide,0.01,multi<0.9,med_minus_mean,10,-0.018446391763119286,-0.11478391041116276,0.019994879367711396,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,single>=0.9,ctk_mean,10,0.026766553595141483,-0.010051417711417479,0.06049279496639514,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,single>=0.9,ctk_trim,10,0.007155357527142017,-0.032908711918496716,0.0436258505995633,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,single>=0.9,ctk_med,10,0.10124773928988587,0.05003531287507666,0.16156035856365322,D-post-hoc-diagnostic
replication-set,federation-wide,0.05,single>=0.9,trim_minus_mean,10,-0.019611196067999468,-0.05534127923772377,-0.002011154069480046,D-post-hoc-diagnostic
