fit_level,set,curve,units,aic_log,cvmse_log,log_slope,aic_emax,cvmse_emax,emax,ed50,aic_iso,cvmse_iso,emax_lo,emax_hi,ed50_lo,ed50_hi,p_ed50_beyond_top_dose,p_ed50_at_bound,ed50_identified,natural_ctk,ctk200,effective_dose_equiv,ede_lo,ede_hi,p_ede_beyond_top_dose,evidence_class
family,primary-set,adwo,10,-376.9739044680318,0.0019171704566131986,0.01414951389848438,-395.9463654092173,0.0014613564175316785,0.26701798010127636,281.72904963951584,-388.5503005905452,0.0014980810061496063,0.1291763576551607,1.1457925432428928,104.35294859400244,1762.150378980028,0.7265,0.0,false,0.08671466690827345,0.11014735757699667,139.47999842988588,96.31907682639577,NaN,0.0475,D-post-hoc-diagnostic
family,primary-set,airpush,10,-381.20144283037456,0.0017792692373335747,0.022301460936815332,-409.3773384602652,0.0011800550677890315,0.2427339275465074,114.70952193855304,-402.0662520422729,0.0012020624336779577,0.18250773657094777,0.3564778697998729,66.52543636891242,222.29945083734964,0.048,0.0,false,0.15280424608532814,0.15205214984635082,inf,138.58511262134965,NaN,0.53,D-post-hoc-diagnostic
family,primary-set,dowgin,10,-415.81435504707,0.001090030900126974,-0.0007157833108592984,-414.1901589319444,0.0011033156805691682,-0.999919631345943,26322.885403466273,-415.57389571845755,0.0010526291172120248,-0.9999999999999999,0.056727195078820694,0.0010000000000158539,99462.4482877851,0.3925,0.028,false,-0.01267511936315523,-0.008725875734433175,0.0,0.0,35.38664012964268,0.0095,D-post-hoc-diagnostic
family,primary-set,gappusin,10,-442.6265816743899,0.0006637875269672451,0.008730938175715236,-446.59340026365936,0.0006278449140029602,0.09636929233758702,122.91600720409272,-440.7739714857935,0.0006305959961687712,0.049555482862096684,0.43144602887628847,24.341763980888068,1115.4771521767614,0.302,0.0,false,0.05972571978558303,0.062245166281420614,189.28503944310114,81.24553156220426,NaN,0.419,D-post-hoc-diagnostic
family,primary-set,hiddad,10,-291.53853576617826,0.007697862465306429,0.026989147529577415,-299.90863025069984,0.0069417722573287734,0.36931652420795436,175.00646229436884,-293.2041367587869,0.0073614027598083494,0.20139067783329723,4.999999999999177,56.40629219828887,4140.070273396004,0.417,0.0,false,0.026495214779321596,0.19321232222491683,8.853325702246117,3.954590797260552,29.309350395399058,0.0,D-post-hoc-diagnostic
family,primary-set,leadbolt,10,-302.19200534180584,0.006906452411221201,0.06546653948369492,-311.99402699074125,0.006065715781685045,0.46118545166561464,41.304690037657174,-304.52569499724865,0.006108704535235826,0.38681897549982375,0.5530794675683576,21.937537387713494,75.28982473771151,0.0,0.0,true,0.3053294145884703,0.3877951388993016,88.94283228187894,51.40962009478676,154.0127397511079,0.0,D-post-hoc-diagnostic
family,primary-set,revmob,10,-206.81550427941733,0.03563933311159118,0.09223392598090777,-207.23937812420442,0.03495165249530126,0.5809878401169191,28.358298143719097,-199.25182884548462,0.035313988593312855,0.45818384870165463,0.7260773216577315,16.64554435738988,58.22803612445522,0.0,0.0,true,0.38338981977111936,0.5057407041937049,56.77643190317431,45.64414244296909,74.38439527854935,0.0,D-post-hoc-diagnostic
family,replication-set,dnotua,10,-333.1071362483376,0.003697869883107361,-0.00035148029493688843,-331.2240903777746,0.0037454833207374513,3.1446315273059167,99999.98089232206,-333.43034810039586,0.0037437713386012936,-0.023222946035941317,4.999999999999999,0.0010000000000026535,99999.99999999286,0.496,0.1415,false,0.07128885975359403,0.02564236028138738,inf,0.0,NaN,0.744,D-post-hoc-diagnostic
family,replication-set,domob,10,-304.0394179786014,0.006976153318905191,0.03133404432434838,-307.58064812661917,0.006537217237632023,0.24519782460204195,55.042391666709484,-299.8122751391727,0.006607938469407026,0.18264703183507483,0.31851670861983117,31.837774100668828,136.58800543084655,0.0035,0.0,true,0.11705248118258382,0.1945556531928188,49.135094242092194,20.929543868775113,119.39321073605585,0.0,D-post-hoc-diagnostic
family,replication-set,inmobi,10,-272.3238064233182,0.01159961584621805,0.0332473863566458,-272.81445904489146,0.011550236687759766,0.2568366546230369,53.93812614018139,-265.2275905348585,0.011759755303362684,0.15257404823695522,1.5466196850784182,15.227786296049208,984.5829049253133,0.1105,0.0,false,0.20473171215433278,0.21081007300246096,189.5799598439291,83.59153872325459,NaN,0.27,D-post-hoc-diagnostic
