experiment,family,learner,population,alpha,dose,mean_ctk,seed_count
exact-effective-dose-primary,adwo,fedavg,own-domain,0.1,10,-0.012218145271696734,10
exact-effective-dose-primary,adwo,fedavg,own-domain,0.1,25,0.00041507019250923704,10
exact-effective-dose-primary,adwo,fedavg,own-domain,0.1,50,0.01841420961486039,10
exact-effective-dose-primary,adwo,fedavg,own-domain,0.1,100,0.022982974618217945,10
exact-effective-dose-primary,adwo,fedavg,own-domain,0.1,200,0.04041420877014666,10
exact-effective-dose-primary,airpush,central,federation-wide,0.01,0,0.0,10
exact-effective-dose-primary,airpush,central,federation-wide,0.01,10,0.05279817242848565,10
exact-effective-dose-primary,airpush,central,federation-wide,0.01,25,0.09166514622989685,10
exact-effective-dose-primary,airpush,central,federation-wide,0.01,50,0.11857186256355393,10
exact-effective-dose-primary,airpush,central,federation-wide,0.01,100,0.16514187934634933,10
exact-effective-dose-primary,airpush,central,federation-wide,0.01,200,0.22869633562943764,10
exact-effective-dose-primary,airpush,central,federation-wide,0.05,0,0.0,10
exact-effective-dose-primary,airpush,central,federation-wide,0.05,10,0.04657231882537709,10
exact-effective-dose-primary,airpush,central,federation-wide,0.05,25,0.09187516247837417,10
exact-effective-dose-primary,airpush,central,federation-wide,0.05,50,0.1407853147878538,10
exact-effective-dose-primary,airpush,central,federation-wide,0.05,100,0.19017362946712674,10
exact-effective-dose-primary,airpush,central,federation-wide,0.05,200,0.2290552734641647,10
exact-effective-dose-primary,airpush,central,federation-wide,0.1,0,0.0,10
exact-effective-dose-primary,airpush,central,federation-wide,0.1,10,0.04677665008498781,10
exact-effective-dose-primary,airpush,central,federation-wide,0.1,25,0.08341250065154796,10
exact-effective-dose-primary,airpush,central,federation-wide,0.1,50,0.13112038551560262,10
exact-effective-dose-primary,airpush,central,federation-wide,0.1,100,0.15936168475430754,10
exact-effective-dose-primary,airpush,central,federation-wide,0.1,200,0.19784685930276313,10
exact-effective-dose-primary,airpush,central,own-domain,0.01,0,0.0,10
exact-effective-dose-primary,airpush,central,own-domain,0.01,10,0.0883150653019567,10
exact-effective-dose-primary,airpush,central,own-domain,0.01,25,0.13738457287584344,10
exact-effective-dose-primary,airpush,central,own-domain,0.01,50,0.2072311710414628,10
exact-effective-dose-primary,airpush,central,own-domain,0.01,100,0.2256896204020483,10
exact-effective-dose-primary,airpush,central,own-domain,0.01,200,0.27478520719762317,10
exact-effective-dose-primary,airpush,central,own-domain,0.05,0,0.0,10
exact-effective-dose-primary,airpush,central,own-domain,0.05,10,0.02552591452356013,10
exact-effective-dose-primary,airpush,central,own-domain,0.05,25,0.07941782249363585,10
exact-effective-dose-primary,airpush,central,own-domain,0.05,50,0.14990696867224002,10
exact-effective-dose-primary,airpush,central,own-domain,0.05,100,0.17433738239986274,10
exact-effective-dose-primary,airpush,central,own-domain,0.05,200,0.18421845567112485,10
exact-effective-dose-primary,airpush,central,own-domain,0.1,0,0.0,10
exact-effective-dose-primary,airpush,central,own-domain,0.1,10,0.02249252224681797,10
exact-effective-dose-primary,airpush,central,own-domain,0.1,25,0.06322908408680103,10
exact-effective-dose-primary,airpush,central,own-domain,0.1,50,0.14942243528277627,10
exact-effective-dose-primary,airpush,central,own-domain,0.1,100,0.11516802304481422,10
exact-effective-dose-primary,airpush,central,own-domain,0.1,200,0.13340589104617467,10
exact-effective-dose-primary,airpush,fedavg,federation-wide,0.01,0,0.0,10
exact-effective-dose-primary,airpush,fedavg,federation-wide,0.01,10,0.024873279381434944,10
exact-effective-dose-primary,airpush,fedavg,federation-wide,0.01,25,0.06579477399457088,10
exact-effective-dose-primary,airpush,fedavg,federation-wide,0.01,50,0.11423078123981974,10
exact-effective-dose-primary,airpush,fedavg,federation-wide,0.01,100,0.1553670876431406,10
exact-effective-dose-primary,airpush,fedavg,federation-wide,0.01,200,0.19741957368774102,10
exact-effective-dose-primary,airpush,fedavg,federation-wide,0.05,0,0.0,10
exact-effective-dose-primary,airpush,fedavg,federation-wide,0.05,10,0.019304095136294268,10
exact-effective-dose-primary,airpush,fedavg,federation-wide,0.05,25,0.037041232769183544,10
exact-effective-dose-primary,airpush,fedavg,federation-wide,0.05,50,0.07561538333997522,10
exact-effective-dose-primary,airpush,fedavg,federation-wide,0.05,100,0.11728985286060578,10
exact-effective-dose-primary,airpush,fedavg,federation-wide,0.05,200,0.15205214984635082,10
exact-effective-dose-primary,airpush,fedavg,federation-wide,0.1,0,0.0,10
exact-effective-dose-primary,airpush,fedavg,federation-wide,0.1,10,0.020864257548308073,10
exact-effective-dose-primary,airpush,fedavg,federation-wide,0.1,25,0.046399536222900065,10
exact-effective-dose-primary,airpush,fedavg,federation-wide,0.1,50,0.07427878165532557,10
exact-effective-dose-primary,airpush,fedavg,federation-wide,0.1,100,0.11089728147010187,10
exact-effective-dose-primary,airpush,fedavg,federation-wide,0.1,200,0.1361365073724044,10
exact-effective-dose-primary,airpush,fedavg,own-domain,0.01,0,0.0,10
exact-effective-dose-primary,airpush,fedavg,own-domain,0.01,10,0.04094911523889706,10
exact-effective-dose-primary,airpush,fedavg,own-domain,0.01,25,0.09243294210353936,10
exact-effective-dose-primary,airpush,fedavg,own-domain,0.01,50,0.13247292784818082,10
exact-effective-dose-primary,airpush,fedavg,own-domain,0.01,100,0.19483729704949432,10
exact-effective-dose-primary,airpush,fedavg,own-domain,0.01,200,0.24831646593899323,10
exact-effective-dose-primary,airpush,fedavg,own-domain,0.05,0,0.0,10
exact-effective-dose-primary,airpush,fedavg,own-domain,0.05,10,0.023632861709063608,10
exact-effective-dose-primary,airpush,fedavg,own-domain,0.05,25,0.027430504781525332,10
exact-effective-dose-primary,airpush,fedavg,own-domain,0.05,50,0.04662461832098533,10
