family,seed,eligible_pairs,eligible_target_test_rows,eligible
revmob,306,2,37,true
revmob,307,2,37,true
revmob,308,2,41,true
revmob,309,2,29,true
smspay,300,1,44,true
smspay,301,1,49,true
smspay,302,1,43,true
smspay,303,1,31,true
smspay,304,1,36,true
smspay,305,1,50,true
smspay,306,1,32,true
smspay,307,1,39,true
smspay,308,1,48,true
smspay,309,1,39,true
smsreg,300,4,1264,true
smsreg,301,4,1355,true
smsreg,302,4,1357,true
smsreg,303,4,1383,true
smsreg,304,4,1249,true
smsreg,305,4,1286,true
smsreg,306,4,1243,true
smsreg,307,4,1325,true
smsreg,308,4,1280,true
smsreg,309,4,1388,true
umpay,300,0,0,false
umpay,301,0,0,false
umpay,302,0,0,false
umpay,303,0,0,false
umpay,304,0,0,false
umpay,305,0,0,false
umpay,306,0,0,false
umpay,307,1,28,true
umpay,308,0,0,false
umpay,309,1,10,true
utchi,300,0,0,false
utchi,301,2,610,true
utchi,302,2,389,true
utchi,303,2,330,true
utchi,304,2,233,true
utchi,305,2,559,true
utchi,306,2,585,true
utchi,307,0,0,false
utchi,308,2,255,true
utchi,309,1,322,true
utilcode,300,3,82,true
utilcode,301,3,95,true
utilcode,302,3,106,true
utilcode,303,3,99,true
utilcode,304,2,78,true
utilcode,305,2,64,true
utilcode,306,3,105,true
utilcode,307,2,63,true
utilcode,308,3,93,true
utilcode,309,3,95,true
wooboo,300,1,29,true
wooboo,301,1,15,true
wooboo,302,1,14,true
wooboo,303,1,13,true
wooboo,304,1,12,true
wooboo,305,1,12,true
wooboo,306,1,12,true
wooboo,307,1,28,true
wooboo,308,1,10,true
wooboo,309,1,10,true
youmi,300,3,623,true
youmi,301,3,725,true
youmi,302,3,701,true
youmi,303,3,748,true
youmi,304,3,765,true
youmi,305,3,618,true
youmi,306,3,661,true
youmi,307,3,763,true
youmi,308,3,668,true
youmi,309,3,700,true
