representation,seed,arm,n_scores,nonfinite,min,max,abs_gt_1e3,abs_gt_1e4,evidence_class
lamda-static,336,central__full-exposure__dose-all,227875,0,-102.08684539794922,48.4758186340332,0,0,D-post-hoc-diagnostic
lamda-static,336,central__peer-present__dose-all,227875,0,-105.68144989013672,38.13959884643555,0,0,D-post-hoc-diagnostic
lamda-static,336,fedavg__family-absent-everywhere__dose-all,227875,0,-106.52758026123047,73.70063781738281,0,0,D-post-hoc-diagnostic
lamda-static,336,fedavg__full-exposure__dose-all,227875,0,-121.47026062011719,77.70372772216797,0,0,D-post-hoc-diagnostic
lamda-static,336,fedavg__peer-present__dose-all,227875,0,-123.32691192626953,82.02420806884766,0,0,D-post-hoc-diagnostic
lamda-static,336,local__peer-present__dose-all,227875,0,-30.728975296020508,29.40395736694336,0,0,D-post-hoc-diagnostic
lamda-static,337,central__family-absent-everywhere__dose-all,226129,0,-102.43817901611328,47.233062744140625,0,0,D-post-hoc-diagnostic
lamda-static,337,central__full-exposure__dose-all,226129,0,-104.45280456542969,52.42329788208008,0,0,D-post-hoc-diagnostic
lamda-static,337,central__peer-present__dose-all,226129,0,-100.81886291503906,58.734249114990234,0,0,D-post-hoc-diagnostic
lamda-static,337,fedavg__family-absent-everywhere__dose-all,226129,0,-88.39476776123047,67.56196594238281,0,0,D-post-hoc-diagnostic
lamda-static,337,fedavg__full-exposure__dose-all,226129,0,-97.68551635742188,62.69590759277344,0,0,D-post-hoc-diagnostic
lamda-static,337,fedavg__peer-present__dose-all,226129,0,-95.41155242919922,65.70691680908203,0,0,D-post-hoc-diagnostic
lamda-static,337,local__peer-present__dose-all,226129,0,-28.766817092895508,20.418874740600586,0,0,D-post-hoc-diagnostic
lamda-static,338,central__family-absent-everywhere__dose-all,227174,0,-114.28840637207031,41.823062896728516,0,0,D-post-hoc-diagnostic
lamda-static,338,central__full-exposure__dose-all,227174,0,-99.79173278808594,46.469539642333984,0,0,D-post-hoc-diagnostic
lamda-static,338,central__peer-present__dose-all,227174,0,-116.01326751708984,39.39369583129883,0,0,D-post-hoc-diagnostic
lamda-static,338,fedavg__family-absent-everywhere__dose-all,227174,0,-112.999755859375,67.50511169433594,0,0,D-post-hoc-diagnostic
lamda-static,338,fedavg__full-exposure__dose-all,227174,0,-111.31561279296875,72.16264343261719,0,0,D-post-hoc-diagnostic
lamda-static,338,fedavg__peer-present__dose-all,227174,0,-123.13623046875,66.28333282470703,0,0,D-post-hoc-diagnostic
lamda-static,338,local__peer-present__dose-all,227174,0,-29.96764373779297,21.285511016845703,0,0,D-post-hoc-diagnostic
lamda-static,339,central__family-absent-everywhere__dose-all,207470,0,-96.65328979492188,43.55038833618164,0,0,D-post-hoc-diagnostic
lamda-static,339,central__full-exposure__dose-all,207470,0,-86.85775756835938,45.43938064575195,0,0,D-post-hoc-diagnostic
lamda-static,339,central__peer-present__dose-all,207470,0,-91.35269927978516,39.70320510864258,0,0,D-post-hoc-diagnostic
lamda-static,339,fedavg__family-absent-everywhere__dose-all,207470,0,-98.72946166992188,72.95320892333984,0,0,D-post-hoc-diagnostic
lamda-static,339,fedavg__full-exposure__dose-all,207470,0,-104.08853912353516,73.981201171875,0,0,D-post-hoc-diagnostic
lamda-static,339,fedavg__peer-present__dose-all,207470,0,-105.7796630859375,71.7201156616211,0,0,D-post-hoc-diagnostic
lamda-static,339,local__peer-present__dose-all,207470,0,-23.711828231811523,22.76898956298828,0,0,D-post-hoc-diagnostic
mcndroid-static,330,central__family-absent-everywhere__dose-all,224980,0,-100.8172607421875,99.57112121582031,0,0,D-post-hoc-diagnostic
mcndroid-static,330,central__full-exposure__dose-all,224980,0,-91.8388900756836,120.24409484863281,0,0,D-post-hoc-diagnostic
mcndroid-static,330,central__peer-present__dose-all,224980,0,-90.172119140625,117.82209014892578,0,0,D-post-hoc-diagnostic
mcndroid-static,330,fedavg__family-absent-everywhere__dose-all,224980,0,-92.18222045898438,212.65365600585938,0,0,D-post-hoc-diagnostic
mcndroid-static,330,fedavg__full-exposure__dose-all,224980,0,-92.58263397216797,218.1735382080078,0,0,D-post-hoc-diagnostic
mcndroid-static,330,fedavg__peer-present__dose-all,224980,0,-99.4379653930664,241.74842834472656,0,0,D-post-hoc-diagnostic
mcndroid-static,330,local__peer-present__dose-all,224980,0,-27.43992042541504,58.26063537597656,0,0,D-post-hoc-diagnostic
mcndroid-static,331,central__family-absent-everywhere__dose-all,228027,0,-85.83293151855469,101.63531494140625,0,0,D-post-hoc-diagnostic
mcndroid-static,331,central__full-exposure__dose-all,228027,0,-67.53223419189453,134.8554229736328,0,0,D-post-hoc-diagnostic
mcndroid-static,331,central__peer-present__dose-all,228027,0,-82.299560546875,140.79908752441406,0,0,D-post-hoc-diagnostic
mcndroid-static,331,fedavg__family-absent-everywhere__dose-all,228027,0,-91.9583740234375,162.69557189941406,0,0,D-post-hoc-diagnostic
mcndroid-static,331,fedavg__full-exposure__dose-all,228027,0,-90.55589294433594,194.5143585205078,0,0,D-post-hoc-diagnostic
mcndroid-static,331,fedavg__peer-present__dose-all,228027,0,-88.1323471069336,200.50631713867188,0,0,D-post-hoc-diagnostic
mcndroid-static,331,local__peer-present__dose-all,228027,0,-30.483135223388672,54.403507232666016,0,0,D-post-hoc-diagnostic
mcndroid-static,332,central__family-absent-everywhere__dose-all,224773,0,-85.9602279663086,119.00775909423828,0,0,D-post-hoc-diagnostic
mcndroid-static,332,central__full-exposure__dose-all,224773,0,-40.34954833984375,135.9076690673828,0,0,D-post-hoc-diagnostic
mcndroid-static,332,central__peer-present__dose-all,224773,0,-49.36738586425781,142.77243041992188,0,0,D-post-hoc-diagnostic
mcndroid-static,332,fedavg__family-absent-everywhere__dose-all,224773,0,-85.88534545898438,154.71905517578125,0,0,D-post-hoc-diagnostic
mcndroid-static,332,fedavg__full-exposure__dose-all,224773,0,-66.86327362060547,148.0653076171875,0,0,D-post-hoc-diagnostic
