experiment,learner,population,family,ctk,ctk_lo,ctk_hi,ctk_seeds,ctk_pos,evidence_class
natural-scarcity,fedavg,federation-wide,airpush,0.14968598958168258,0.11508319035956889,0.18196982484835544,10,10,C-post-confirmatory-evidence-preserving
natural-scarcity,fedavg,own-domain,leadbolt,0.3428366301597726,0.2571292495061554,0.4206323234556981,10,10,C-post-confirmatory-evidence-preserving
natural-scarcity,fedavg,federation-wide,leadbolt,0.3063184605240784,0.2601273098090238,0.3520857864060366,10,10,C-post-confirmatory-evidence-preserving
natural-scarcity,fedavg,own-domain,revmob,0.2886556905370844,0.22912287822737792,0.34731219553038606,10,10,C-post-confirmatory-evidence-preserving
natural-scarcity,fedavg,federation-wide,revmob,0.31996709358393466,0.26949050197324426,0.36778180756244633,10,10,C-post-confirmatory-evidence-preserving
natural-scarcity,fedavg,own-domain,hiddad,-0.03832129342965258,-0.09886480908152738,0.01802889576883403,6,1,C-post-confirmatory-evidence-preserving
natural-scarcity,fedavg,federation-wide,hiddad,0.03174545117068176,0.009118873611627233,0.06028195239313896,6,5,C-post-confirmatory-evidence-preserving
model-family-replication-linear,fedavg,own-domain,airpush,0.1769355582067032,0.11504662625418452,0.2438766182651077,10,10,C-post-confirmatory-evidence-preserving
model-family-replication-linear,fedavg,federation-wide,airpush,0.12879377763278546,0.10163674995667939,0.158656080492593,10,10,C-post-confirmatory-evidence-preserving
model-family-replication-linear,fedavg,own-domain,revmob,0.041771094402673355,0.005555555555555547,0.08145363408521307,10,4,C-post-confirmatory-evidence-preserving
model-family-replication-linear,fedavg,federation-wide,revmob,0.14699306304942594,0.06411912523550209,0.24605707400623006,10,10,C-post-confirmatory-evidence-preserving
model-family-replication-linear,fedavg,own-domain,dowgin,0.030898434551203093,0.0096841397504557,0.054358711383761776,10,6,C-post-confirmatory-evidence-preserving
model-family-replication-linear,fedavg,federation-wide,dowgin,0.05743795461967387,0.039355125665439215,0.07573427556441212,10,10,C-post-confirmatory-evidence-preserving
model-family-replication-linear,fedavg,own-domain,adwo,0.05038201829065782,0.025230374980180756,0.07525413111246033,10,7,C-post-confirmatory-evidence-preserving
model-family-replication-linear,fedavg,federation-wide,adwo,0.1069827119944488,0.0703350577635275,0.1463649778520623,10,10,C-post-confirmatory-evidence-preserving
model-family-replication-linear,fedavg,own-domain,gappusin,0.05921206947115931,0.03682966744236425,0.08564521611235576,10,10,C-post-confirmatory-evidence-preserving
model-family-replication-linear,fedavg,federation-wide,gappusin,0.05842556131499077,0.03985039480686229,0.07850202357656606,10,10,C-post-confirmatory-evidence-preserving
model-family-replication-linear,fedavg,own-domain,leadbolt,0.16442589004608382,0.10850352990399682,0.2300735701669052,10,10,C-post-confirmatory-evidence-preserving
model-family-replication-linear,fedavg,federation-wide,leadbolt,0.0840421764933266,0.04510941772981485,0.1315413282635915,10,10,C-post-confirmatory-evidence-preserving
model-family-replication-linear,fedavg,own-domain,hiddad,-0.017460251239975896,-0.053823529411764715,0.010767626199415969,10,3,C-post-confirmatory-evidence-preserving
model-family-replication-linear,fedavg,federation-wide,hiddad,-0.0014829679408240926,-0.00913261213927955,0.007209441166720404,10,2,C-post-confirmatory-evidence-preserving
controlled-exposure,central,own-domain,airpush,0.14027989770795277,0.05308655561676332,0.24786689325427896,10,9,C-post-confirmatory-evidence-preserving
controlled-exposure,central,federation-wide,airpush,0.10750353444976804,0.05965046804578276,0.15309464596208536,10,9,C-post-confirmatory-evidence-preserving
controlled-exposure,central,own-domain,revmob,0.36016481420943663,0.19818021276016126,0.522148033126294,10,9,C-post-confirmatory-evidence-preserving
controlled-exposure,central,federation-wide,revmob,0.31483083189587796,0.19361373179590202,0.4392515905401755,10,10,C-post-confirmatory-evidence-preserving
controlled-exposure,central,own-domain,dowgin,0.022186023247255344,-0.032871549140951736,0.06469191208470561,10,7,C-post-confirmatory-evidence-preserving
controlled-exposure,central,federation-wide,dowgin,0.028677658110904336,0.009407690469662396,0.05092318683210734,10,9,C-post-confirmatory-evidence-preserving
controlled-exposure,central,own-domain,adwo,0.03747581208461405,-0.023015122950039348,0.10027068193504811,10,5,C-post-confirmatory-evidence-preserving
controlled-exposure,central,federation-wide,adwo,0.06013749522003871,-0.006572927586316492,0.1262915330900508,10,7,C-post-confirmatory-evidence-preserving
controlled-exposure,central,own-domain,gappusin,0.041820097896439465,-0.012472878859970211,0.1014216564771375,10,8,C-post-confirmatory-evidence-preserving
controlled-exposure,central,federation-wide,gappusin,0.08739017011867706,0.028202650689832718,0.1400344672939357,10,9,C-post-confirmatory-evidence-preserving
controlled-exposure,central,own-domain,leadbolt,0.2699030776779703,0.13555615553705533,0.4227196280672262,10,9,C-post-confirmatory-evidence-preserving
controlled-exposure,central,federation-wide,leadbolt,0.30397076047235905,0.25275173406012647,0.3602566979608307,10,10,C-post-confirmatory-evidence-preserving
controlled-exposure,central,own-domain,hiddad,-0.009476312983822371,-0.05933121552403465,0.05913919308858296,10,2,C-post-confirmatory-evidence-preserving
controlled-exposure,central,federation-wide,hiddad,0.014178729413260937,-0.023669766787484746,0.04725080492424252,10,7,C-post-confirmatory-evidence-preserving
replication-family-set,central,own-domain,dnotua,-0.010105948433465989,-0.02369037743060104,0.001485180762132221,10,3,C-post-confirmatory-evidence-preserving
replication-family-set,central,federation-wide,dnotua,-0.01461281685564646,-0.04136881096236429,0.008936873329559409,10,5,C-post-confirmatory-evidence-preserving
replication-family-set,central,own-domain,inmobi,0.21843757343156858,0.12115466777055076,0.3404156743987153,10,9,C-post-confirmatory-evidence-preserving
replication-family-set,central,federation-wide,inmobi,0.23634662674091675,0.1475492552745032,0.3295020151624111,10,10,C-post-confirmatory-evidence-preserving
replication-family-set,central,own-domain,smsreg,0.10237628007919938,0.008855383828167203,0.2417381907599541,10,6,C-post-confirmatory-evidence-preserving
replication-family-set,central,federation-wide,smsreg,0.05245464834132875,0.031310080745631186,0.0756234563105866,10,10,C-post-confirmatory-evidence-preserving
replication-family-set,central,own-domain,kuguo,0.01957617605776621,-0.015100273515995263,0.0626433419368135,10,4,C-post-confirmatory-evidence-preserving
replication-family-set,central,federation-wide,kuguo,0.08057654148240193,0.038036457911629316,0.12236858654461938,10,8,C-post-confirmatory-evidence-preserving
replication-family-set,central,own-domain,youmi,0.027181015108859063,-0.0105414186494479,0.07853027580502557,10,4,C-post-confirmatory-evidence-preserving
