evidence_class,client,learner,alpha,population,local_recall,absent_recall,peer_recall,full_recall,total_gain,total_ci_low,total_ci_high,pooling_gain,pooling_ci_low,pooling_ci_high,ctk_gain,ctk_ci_low,ctk_ci_high,ctk_positive_seeds,known_family_recall_local,known_family_recall_collaborative,known_family_change,known_family_change_ci_low,known_family_change_ci_high,realised_fpr,hidden_family_trials_per_seed,contributing_seeds,eligible_pairs,interval_status
C-post-confirmatory-evidence-preserving,anzhi,central,0.05,federation-wide,0.5125242286446859,0.40225153801851044,0.49114210421023663,0.5152111429375175,-0.021382124434449364,-0.12534686160485953,0.09120237349372573,-0.1102726906261755,-0.20937095543360795,-0.048298833578500865,0.08889056619172614,0.020831297849877986,0.1591178037214749,6,0.7014507224048654,0.6944778439100491,-0.006972878494816282,-0.033238397339788436,0.010619775751489856,0.05770651962453153,3899.25,8,17,formal-bca-interval
C-post-confirmatory-evidence-preserving,anzhi,fedavg,0.05,federation-wide,0.5125242286446859,0.4387301792451682,0.5170974178767174,0.5584068114555012,0.004573189232031306,-0.05553870468253058,0.08569097937655776,-0.07379404939951781,-0.14125544846360807,-0.022205055059938302,0.07836723863154912,0.03224709687588319,0.1410231385124862,7,0.7014507224048654,0.6368954774706006,-0.06455524493426479,-0.09701762206107363,-0.03357666060874623,0.05977398517163127,3899.25,8,17,formal-bca-interval
C-post-confirmatory-evidence-preserving,anzhi,fedprox,0.05,federation-wide,0.5125242286446859,0.3894709551793728,0.4818817895582208,0.4999501090120933,-0.030642439086465172,-0.09919247441675734,0.035151924434809606,-0.1230532734653132,-0.19929532994916382,-0.07872869288877563,0.09241083437884802,0.05214783136774938,0.1335059160239355,8,0.7014507224048654,0.7005471321335023,-0.0009035902713630195,-0.0133026542417889,0.008941598795780183,0.05925087842882769,3899.25,8,17,formal-bca-interval
C-post-confirmatory-evidence-preserving,anzhi,central,0.05,own-domain,0.5336250947108039,0.4794369680689109,0.5057023749503609,0.5410647157998967,-0.02792271976044307,-0.07416757600326938,0.07531725005226646,-0.054188126641892986,-0.1119520136275842,0.022661651994527396,0.02626540688144991,-0.010151309289500907,0.051990489771808396,6,0.7014507224048654,0.6944778439100491,-0.006972878494816282,-0.033238397339788436,0.010619775751489856,0.05770651962453153,2393.0,8,17,formal-bca-interval
C-post-confirmatory-evidence-preserving,anzhi,fedavg,0.05,own-domain,0.5336250947108039,0.47853813438081183,0.5078546986698325,0.5206995613199876,-0.025770396040971356,-0.07780466221791699,0.046141744202091994,-0.05508696032999204,-0.10650781602869629,0.02304559891395544,0.029316564289020682,-0.0005418704029209264,0.07270671427216695,4,0.7014507224048654,0.6368954774706006,-0.06455524493426479,-0.09701762206107363,-0.03357666060874623,0.05977398517163127,2393.0,8,17,formal-bca-interval
C-post-confirmatory-evidence-preserving,anzhi,fedprox,0.05,own-domain,0.5336250947108039,0.4843332767349039,0.5011952555698401,0.5421360247922616,-0.03242983914096372,-0.105460404453646,0.047291742252608196,-0.04929181797589996,-0.11577395913475094,0.05455834785993634,0.01686197883493624,-0.01614437596858362,0.0408807964175196,7,0.7014507224048654,0.7005471321335023,-0.0009035902713630195,-0.0133026542417889,0.008941598795780183,0.05925087842882769,2393.0,8,17,formal-bca-interval
C-post-confirmatory-evidence-preserving,appchina,central,0.05,federation-wide,0.3970793218886206,0.4370787047861137,0.5308660889551321,0.5768153847842364,0.13378676706651144,0.06333691261460786,0.1876607700449795,0.03999938289749306,-0.011000165327164038,0.10160160448002052,0.09378738416901837,0.03034258928785089,0.14066298741669092,9,0.7193091564071423,0.7121303364522837,-0.007178819954858607,-0.032737272752081444,0.008168622731712613,0.04752914566660453,4492.6,10,24,formal-bca-interval
C-post-confirmatory-evidence-preserving,appchina,fedavg,0.05,federation-wide,0.3970793218886206,0.4189899396452442,0.4924641376576321,0.5206614110009575,0.09538481576901145,0.05378702361662145,0.13885283294941977,0.021910617756623545,-0.01171387427421609,0.0849954928124418,0.0734741980123879,0.0311638951712181,0.11862108111607754,8,0.7193091564071423,0.7044821656659528,-0.014826990741189483,-0.029898634530533555,0.0055145717805942015,0.048681235349961056,4492.6,10,24,formal-bca-interval
C-post-confirmatory-evidence-preserving,appchina,fedprox,0.05,federation-wide,0.3970793218886206,0.4107393873089342,0.53642392128607,0.5752963366228723,0.13934459939744936,0.093543491275378,0.1976686526480001,0.013660065420313578,-0.11259450348745212,0.10844491534069918,0.1256845339771358,0.07989952810198847,0.22001333979371393,10,0.7193091564071423,0.7394000685093504,0.02009091210220797,0.005253140130669042,0.033821832759322476,0.047358979028764014,4492.6,10,24,formal-bca-interval
C-post-confirmatory-evidence-preserving,appchina,central,0.05,own-domain,0.40218619391879296,0.3600493684647058,0.41723644851935593,0.5174163376630351,0.015050254600562894,-0.028793077736406804,0.06959470865379494,-0.04213682545408714,-0.10169060353741288,-0.0035762221159250985,0.05718708005465004,-0.004569902817367374,0.10691112347481685,8,0.7193091564071423,0.7121303364522837,-0.007178819954858607,-0.032737272752081444,0.008168622731712613,0.04752914566660453,995.9,10,24,formal-bca-interval
