evidence_class,experiment,learner,metric,estimand,mean_difference,ci_low,ci_high,positive_seeds,seed_count,families,clients
B-confirmatory-sensitivity,controlled-exposure,fedavg,family-macro-unseen-recall,ctk-gain,0.12365730182555967,0.10161795183658978,0.1525371095822069,10,10,7,4
B-confirmatory-sensitivity,natural-scarcity,fedavg,family-macro-unseen-recall,ctk-gain,0.16055850065218985,0.14655963681018677,0.18091669661988435,10,10,7,4
B-confirmatory-sensitivity,controlled-exposure,fedavg,family-macro-unseen-recall,ctk-share,1.1935585881895852,0.864934112539999,1.893929015488884,,10,7,4
B-confirmatory-sensitivity,natural-scarcity,fedavg,family-macro-unseen-recall,ctk-share,0.8023554900815663,0.635535553881032,0.9679370760841713,,10,7,4
B-confirmatory-sensitivity,controlled-exposure,fedavg,family-macro-unseen-recall,pooling-gain,-0.02005342091919738,-0.061612145797704757,0.01713442523040754,5,10,7,4
B-confirmatory-sensitivity,natural-scarcity,fedavg,family-macro-unseen-recall,pooling-gain,0.03955043190570627,0.005877988926002265,0.08549760903117284,7,10,7,4
B-confirmatory-sensitivity,controlled-exposure,fedavg,family-macro-unseen-recall,pooling-share,-0.19355858818958496,-0.8937507751542275,0.13516228077774597,,10,7,4
B-confirmatory-sensitivity,natural-scarcity,fedavg,family-macro-unseen-recall,pooling-share,0.19764450991843363,0.03206292391582852,0.36446444611896794,,10,7,4
B-confirmatory-sensitivity,controlled-exposure,fedavg,family-macro-unseen-recall,total-gain,0.10360388090636227,0.06616919274057738,0.1394146101497875,10,10,7,4
B-confirmatory-sensitivity,natural-scarcity,fedavg,family-macro-unseen-recall,total-gain,0.20010893255789614,0.17291281332891892,0.23611614332605116,10,10,7,4
B-confirmatory-sensitivity,controlled-exposure,fedavg,federation-unseen-recall,ctk-gain,0.11708372096375852,0.08953459531112512,0.14508851970147368,10,10,7,4
B-confirmatory-sensitivity,natural-scarcity,fedavg,federation-unseen-recall,ctk-gain,0.11283624374011185,0.09362794358059999,0.12818359085683825,10,10,7,4
B-confirmatory-sensitivity,controlled-exposure,fedavg,federation-unseen-recall,ctk-share,0.8899942955568526,0.646403734705985,1.389307353083927,,10,7,4
B-confirmatory-sensitivity,natural-scarcity,fedavg,federation-unseen-recall,ctk-share,0.5294813819233724,0.44393143726622875,0.6194823976428138,,10,7,4
B-confirmatory-sensitivity,controlled-exposure,fedavg,federation-unseen-recall,pooling-gain,0.014471864895925496,-0.037836340142029926,0.054121900140651664,7,10,7,4
B-confirmatory-sensitivity,natural-scarcity,fedavg,federation-unseen-recall,pooling-gain,0.10027085991333018,0.07163145287958851,0.1313064752846734,10,10,7,4
B-confirmatory-sensitivity,controlled-exposure,fedavg,federation-unseen-recall,pooling-share,0.11000570444314736,-0.38930735308392705,0.35359626529401517,,10,7,4
B-confirmatory-sensitivity,natural-scarcity,fedavg,federation-unseen-recall,pooling-share,0.47051861807662754,0.38051760235718585,0.5560685627337711,,10,7,4
B-confirmatory-sensitivity,controlled-exposure,fedavg,federation-unseen-recall,total-gain,0.13155558585968402,0.0902208116227931,0.16680697580253884,10,10,7,4
B-confirmatory-sensitivity,natural-scarcity,fedavg,federation-unseen-recall,total-gain,0.21310710365344204,0.1756019350081786,0.24196823363507008,10,10,7,4
B-confirmatory-sensitivity,controlled-exposure,fedavg,own-domain-unseen-recall,ctk-gain,0.10667267274729068,0.06757101685032989,0.14413091376681314,10,10,7,4
B-confirmatory-sensitivity,natural-scarcity,fedavg,own-domain-unseen-recall,ctk-gain,0.10977341963988438,0.07618609597824838,0.13857740600817658,10,10,7,4
B-confirmatory-sensitivity,controlled-exposure,fedavg,own-domain-unseen-recall,ctk-share,2.8289056972537274,1.8783231260534332,6.7061440586182135,,10,7,4
B-confirmatory-sensitivity,natural-scarcity,fedavg,own-domain-unseen-recall,ctk-share,1.8528819104923648,1.2218967551555315,3.9920642466767937,,10,7,4
B-confirmatory-sensitivity,controlled-exposure,fedavg,own-domain-unseen-recall,pooling-gain,-0.06896456786035599,-0.10758851470361148,-0.040034356347311326,1,10,7,4
B-confirmatory-sensitivity,natural-scarcity,fedavg,own-domain-unseen-recall,pooling-gain,-0.050528726808534784,-0.07762201072876734,-0.019967617858034505,2,10,7,4
B-confirmatory-sensitivity,controlled-exposure,fedavg,own-domain-unseen-recall,pooling-share,-1.8289056972537272,-5.706144058618224,-0.878323126053433,,10,7,4
B-confirmatory-sensitivity,natural-scarcity,fedavg,own-domain-unseen-recall,pooling-share,-0.8528819104923652,-2.9927711577935447,-0.22199799079052673,,10,7,4
B-confirmatory-sensitivity,controlled-exposure,fedavg,own-domain-unseen-recall,total-gain,0.0377081048869347,0.015336226615382207,0.06200165995775968,8,10,7,4
B-confirmatory-sensitivity,natural-scarcity,fedavg,own-domain-unseen-recall,total-gain,0.05924469283134961,0.015219695852918071,0.09220967831178381,8,10,7,4
B-confirmatory-sensitivity,controlled-exposure,fedavg,worst-client-unseen-recall,ctk-gain,0.17284732389786578,0.11571723110980096,0.2421968413681666,10,10,7,4
B-confirmatory-sensitivity,natural-scarcity,fedavg,worst-client-unseen-recall,ctk-gain,0.1401638362436112,0.08363931236465641,0.18016877072440404,9,10,7,4
B-confirmatory-sensitivity,controlled-exposure,fedavg,worst-client-unseen-recall,ctk-share,1.1807852398396634,0.9099895799767798,1.8099095515713568,,10,7,4
B-confirmatory-sensitivity,natural-scarcity,fedavg,worst-client-unseen-recall,ctk-share,0.6173205753462064,0.4744253956854926,0.7373769371216863,,10,7,4
B-confirmatory-sensitivity,controlled-exposure,fedavg,worst-client-unseen-recall,pooling-gain,-0.026463952844433238,-0.0800900240487493,0.012966712371748268,3,10,7,4
B-confirmatory-sensitivity,natural-scarcity,fedavg,worst-client-unseen-recall,pooling-gain,0.08688810701132464,0.05466349550278921,0.11423833482938922,9,10,7,4
B-confirmatory-sensitivity,controlled-exposure,fedavg,worst-client-unseen-recall,pooling-share,-0.18078523983966338,-0.8096856994036485,0.09003544094065541,,10,7,4
B-confirmatory-sensitivity,natural-scarcity,fedavg,worst-client-unseen-recall,pooling-share,0.3826794246537936,0.26262306287831383,0.5255746043145071,,10,7,4
B-confirmatory-sensitivity,controlled-exposure,fedavg,worst-client-unseen-recall,total-gain,0.14638337105343252,0.07964543242888403,0.23966567705900815,10,10,7,4
B-confirmatory-sensitivity,natural-scarcity,fedavg,worst-client-unseen-recall,total-gain,0.22705194325493583,0.1734078242237616,0.27325071800265377,10,10,7,4
