experiment,alpha,learner,metric,estimand,contrast_family,mean_difference,median_difference,ci_low,ci_high,p_value,p_holm,positive_seeds,seed_count,effect_size,claim_status
controlled-exposure,0.05,central,family-macro-unseen-recall,ctk-share,exploratory,1.1379723205285839,,0.733095261014684,1.8965999354142427,,,,10,,promoted
controlled-exposure,0.05,central,family-macro-unseen-recall,pooling-gain,exploratory,-0.015877580932130163,0.0007295172821112361,-0.07393854784357376,0.03723274816659667,0.76953125,,5,10,-0.16910702428143898,promoted
controlled-exposure,0.05,central,family-macro-unseen-recall,total-gain,exploratory,0.11507801616513927,0.1211051565968497,0.07106480341834123,0.15809732988549965,0.001953125,,10,10,1.5600069855572136,promoted
controlled-exposure,0.05,central,federation-unseen-recall,ctk-gain,reference,0.1307126976034772,0.11317639439357963,0.08556507811290066,0.18097184406121133,0.001953125,,10,10,1.611171098332686,promoted
controlled-exposure,0.05,central,federation-unseen-recall,ctk-share,exploratory,0.8583474229476566,,0.5997993625599791,1.2803290964159175,,,,10,,promoted
controlled-exposure,0.05,central,federation-unseen-recall,pooling-gain,reference,0.021571440624136774,0.04703787657228181,-0.03408510291355717,0.06667605296888429,0.431640625,,7,10,0.25496767647074126,promoted
controlled-exposure,0.05,central,federation-unseen-recall,total-gain,reference,0.152284138227614,0.16716175609414638,0.10093919893085634,0.19522576067345662,0.001953125,,10,10,1.9149556422143579,promoted
controlled-exposure,0.05,central,own-domain-unseen-recall,ctk-gain,exploratory,0.11821366865044687,0.09849721252918112,0.06776147200786131,0.18073432560048372,0.00390625,,9,10,1.253044875779019,promoted
controlled-exposure,0.05,central,own-domain-unseen-recall,ctk-share,exploratory,2.1265080781625327,,1.1271090831910908,3.721897018869511,,,,10,,promoted
controlled-exposure,0.05,central,own-domain-unseen-recall,pooling-gain,exploratory,-0.06262315861928223,-0.06577595184441781,-0.1004488792193819,-0.0213129151188237,0.01953125,,1,10,-0.9399134795456558,promoted
controlled-exposure,0.05,central,own-domain-unseen-recall,total-gain,exploratory,0.05559051003116462,0.03994603038721478,0.018447900064925277,0.0982370267037642,0.037109375,,8,10,0.8170617333883419,promoted
controlled-exposure,0.05,central,worst-client-unseen-recall,ctk-gain,exploratory,0.1868460611232427,0.1715468529608426,0.13742655810124665,0.2772205075492866,0.001953125,,10,10,1.6725998625146914,promoted
controlled-exposure,0.05,central,worst-client-unseen-recall,ctk-share,exploratory,1.406015653871597,,0.9042527198549937,4.1445668234390896,,,,10,,promoted
controlled-exposure,0.05,central,worst-client-unseen-recall,pooling-gain,exploratory,-0.05395560531021928,-0.03628689241239161,-0.13682935354102915,0.010051219163698596,0.064453125,,1,10,-0.43322217153994824,promoted
controlled-exposure,0.05,central,worst-client-unseen-recall,total-gain,exploratory,0.13289045581302342,0.09179548963157674,0.03444626133759579,0.23434781458587206,0.037109375,,9,10,0.7816880013732018,promoted
controlled-exposure,0.05,fedavg,family-macro-unseen-recall,ctk-gain,exploratory,0.12365730182555967,0.1145186504388867,0.10161795183658978,0.1525371095822069,0.001953125,,10,10,2.9105369809469135,promoted
controlled-exposure,0.05,fedavg,family-macro-unseen-recall,ctk-share,exploratory,1.1935585881895852,,0.864934112539999,1.893929015488884,,,,10,,promoted
controlled-exposure,0.05,fedavg,family-macro-unseen-recall,pooling-gain,exploratory,-0.02005342091919738,-0.016310558636019323,-0.061612145797704757,0.01713442523040754,0.431640625,,5,10,-0.30300595495442617,promoted
controlled-exposure,0.05,fedavg,family-macro-unseen-recall,total-gain,exploratory,0.10360388090636227,0.09847425816410404,0.06616919274057738,0.1394146101497875,0.001953125,,10,10,1.6510496121806701,promoted
controlled-exposure,0.05,fedavg,federation-unseen-recall,ctk-gain,primary,0.11708372096375852,0.11492674377197826,0.08953459531112512,0.14508851970147368,0.001953125,0.005859375,10,10,2.4875639369756954,promoted
controlled-exposure,0.05,fedavg,federation-unseen-recall,ctk-share,exploratory,0.8899942955568526,,0.646403734705985,1.389307353083927,,,,10,,promoted
controlled-exposure,0.05,fedavg,federation-unseen-recall,pooling-gain,primary,0.014471864895925496,0.029709367128837705,-0.037836340142029926,0.054121900140651664,0.556640625,0.556640625,7,10,0.18786606938717407,promoted
controlled-exposure,0.05,fedavg,federation-unseen-recall,total-gain,primary,0.13155558585968402,0.13360637257294714,0.0902208116227931,0.16680697580253884,0.001953125,0.005859375,10,10,2.016874837269069,promoted
controlled-exposure,0.05,fedavg,own-domain-unseen-recall,ctk-gain,exploratory,0.10667267274729068,0.11599750007604928,0.06757101685032989,0.14413091376681314,0.001953125,,10,10,1.6577359134609406,promoted
controlled-exposure,0.05,fedavg,own-domain-unseen-recall,ctk-share,exploratory,2.8289056972537274,,1.8783231260534332,6.7061440586182135,,,,10,,promoted
controlled-exposure,0.05,fedavg,own-domain-unseen-recall,pooling-gain,exploratory,-0.06896456786035599,-0.06382043214870792,-0.10758851470361148,-0.040034356347311326,0.00390625,,1,10,-1.2286482295063337,promoted
controlled-exposure,0.05,fedavg,own-domain-unseen-recall,total-gain,exploratory,0.0377081048869347,0.023791304830625803,0.015336226615382207,0.06200165995775968,0.02734375,,8,10,0.9590391471968646,promoted
controlled-exposure,0.05,fedavg,worst-client-unseen-recall,ctk-gain,exploratory,0.17284732389786578,0.15456332164767747,0.11571723110980096,0.2421968413681666,0.001953125,,10,10,1.6305817022818547,promoted
controlled-exposure,0.05,fedavg,worst-client-unseen-recall,ctk-share,exploratory,1.1807852398396634,,0.9099895799767798,1.8099095515713568,,,,10,,promoted
controlled-exposure,0.05,fedavg,worst-client-unseen-recall,pooling-gain,exploratory,-0.026463952844433238,-0.024215588100304577,-0.0800900240487493,0.012966712371748268,0.275390625,,3,10,-0.33830369922758613,promoted
controlled-exposure,0.05,fedavg,worst-client-unseen-recall,total-gain,exploratory,0.14638337105343252,0.12693411724608045,0.07964543242888403,0.23966567705900815,0.001953125,,10,10,1.1015688680184126,promoted
controlled-exposure,0.1,central,family-macro-unseen-recall,ctk-gain,exploratory,0.1556325307168615,0.15664869303986712,0.12562760347340804,0.18374461918001264,0.001953125,,10,10,3.13606580222917,promoted
controlled-exposure,0.1,central,family-macro-unseen-recall,ctk-share,exploratory,1.328152814664742,,0.8976035926152438,2.149942940348382,,,,10,,promoted
controlled-exposure,0.1,central,family-macro-unseen-recall,pooling-gain,exploratory,-0.0384528440133048,-0.039952824393315656,-0.09167807127091374,0.01456718780743892,0.275390625,,3,10,-0.4279050650284163,promoted
controlled-exposure,0.1,central,family-macro-unseen-recall,total-gain,exploratory,0.11717968670355672,0.11883875769341928,0.07452272503265299,0.16039125930550951,0.001953125,,10,10,1.6260804180445305,promoted
controlled-exposure,0.1,central,federation-unseen-recall,ctk-gain,exploratory,0.13931538296478646,0.14346698961588367,0.09613134956439592,0.1767554951939408,0.001953125,,10,10,2.0248257512939465,promoted
controlled-exposure,0.1,central,federation-unseen-recall,ctk-share,exploratory,1.0399961206584862,,0.7555306906703816,1.5453535390930186,,,,10,,promoted
controlled-exposure,0.1,central,federation-unseen-recall,pooling-gain,exploratory,-0.0053577842801132425,0.019482308832102835,-0.05604193610496276,0.0363743398716451,1.0,,6,10,-0.06871577846322957,promoted
controlled-exposure,0.1,central,federation-unseen-recall,total-gain,exploratory,0.1339575986846732,0.14179751178257344,0.09364252373952123,0.16955890996229211,0.001953125,,10,10,2.074807647499657,promoted
controlled-exposure,0.1,central,own-domain-unseen-recall,ctk-gain,exploratory,0.13185641171982374,0.10419352419313771,0.08475727293950278,0.18379750277873697,0.001953125,,10,10,1.5822535831130575,promoted
controlled-exposure,0.1,central,own-domain-unseen-recall,ctk-share,exploratory,1.6666921688002807,,1.1641414103741747,4.240116514394066,,,,10,,promoted
controlled-exposure,0.1,central,own-domain-unseen-recall,pooling-gain,exploratory,-0.05274377521254555,-0.039156140560285935,-0.11604842372636241,-0.021815408497682258,0.01953125,,1,10,-0.7427086573834452,promoted
controlled-exposure,0.1,central,own-domain-unseen-recall,total-gain,exploratory,0.07911263650727818,0.07130247341649198,0.031038081208891333,0.1356099142204767,0.048828125,,7,10,0.8898291922863689,promoted
controlled-exposure,0.1,central,worst-client-unseen-recall,ctk-gain,exploratory,0.272666630641518,0.26494762747371203,0.21769387489186603,0.3349614037245604,0.001953125,,10,10,2.7390318817412664,promoted
controlled-exposure,0.1,central,worst-client-unseen-recall,ctk-share,exploratory,1.5053397178969763,,1.049882438181664,2.8172553758823926,,,,10,,promoted
controlled-exposure,0.1,central,worst-client-unseen-recall,pooling-gain,exploratory,-0.09153367613311977,-0.07044391408114559,-0.18870001237313638,-0.015797694509012007,0.10546875,,3,10,-0.6206707987213649,promoted
controlled-exposure,0.1,central,worst-client-unseen-recall,total-gain,exploratory,0.18113295450839823,0.16803032918039734,0.0978666794244605,0.2649144298367445,0.00390625,,9,10,1.2634187624427087,promoted
controlled-exposure,0.1,fedavg,family-macro-unseen-recall,ctk-gain,exploratory,0.14831154682680991,0.14491891191776038,0.13155910050978561,0.16953021327016943,0.001953125,,10,10,4.704471318789487,promoted
controlled-exposure,0.1,fedavg,family-macro-unseen-recall,ctk-share,exploratory,1.254117388714285,,0.9763923531708163,1.6416515052624014,,,,10,,promoted
controlled-exposure,0.1,fedavg,family-macro-unseen-recall,pooling-gain,exploratory,-0.03005184629043651,-0.023905062248697817,-0.05934790214735667,0.0029457797729028363,0.083984375,,2,10,-0.5676160416371,promoted
controlled-exposure,0.1,fedavg,family-macro-unseen-recall,total-gain,exploratory,0.11825970053637339,0.1290276350683902,0.08477627765940629,0.14709687931713936,0.001953125,,10,10,2.2760218069750473,promoted
controlled-exposure,0.1,fedavg,federation-unseen-recall,ctk-gain,exploratory,0.1336295454130579,0.13559683026781283,0.11014973494910639,0.1641288946342283,0.001953125,,10,10,2.9344181854558613,promoted
controlled-exposure,0.1,fedavg,federation-unseen-recall,ctk-share,exploratory,1.0014726032133152,,0.807771721360676,1.3752238304018876,,,,10,,promoted
controlled-exposure,0.1,fedavg,federation-unseen-recall,pooling-gain,exploratory,-0.0001964939403611421,0.00889903974960915,-0.04260200396192987,0.028562380699884093,0.6953125,,7,10,-0.0033867127260236805,promoted
controlled-exposure,0.1,fedavg,federation-unseen-recall,total-gain,exploratory,0.13343305147269677,0.12915819677163898,0.10976745709681808,0.16659041655088414,0.001953125,,10,10,2.8339810820580973,promoted
controlled-exposure,0.1,fedavg,own-domain-unseen-recall,ctk-gain,exploratory,0.13239327915255292,0.13003014363323023,0.08543410665503222,0.17616554015402058,0.001953125,,10,10,1.723864601118077,promoted
controlled-exposure,0.1,fedavg,own-domain-unseen-recall,ctk-share,exploratory,2.0087877397366483,,1.5016934451726258,3.9695508767047043,,,,10,,promoted
controlled-exposure,0.1,fedavg,own-domain-unseen-recall,pooling-gain,exploratory,-0.06648622658864708,-0.052101883171991326,-0.12266953469840587,-0.04657630854918199,0.001953125,,0,10,-1.284246447948119,promoted
controlled-exposure,0.1,fedavg,own-domain-unseen-recall,total-gain,exploratory,0.06590705256390586,0.049465338721883134,0.03088936072135104,0.11027295864028873,0.009765625,,9,10,0.9842697276132494,promoted
controlled-exposure,0.1,fedavg,worst-client-unseen-recall,ctk-gain,exploratory,0.22518244490039,0.20672399454669393,0.18521765258102207,0.27742964283109556,0.001953125,,10,10,2.87322314790582,promoted
controlled-exposure,0.1,fedavg,worst-client-unseen-recall,ctk-share,exploratory,1.1462835499047002,,0.9723068321759716,1.6978272517110806,,,,10,,promoted
controlled-exposure,0.1,fedavg,worst-client-unseen-recall,pooling-gain,exploratory,-0.028736770600072875,-0.03502338770418101,-0.08355898307459675,0.006145107294508114,0.375,,3,10,-0.3948340911066944,promoted
controlled-exposure,0.1,fedavg,worst-client-unseen-recall,total-gain,exploratory,0.1964456743003171,0.18371309907064326,0.11858060232051504,0.26289997345623617,0.00390625,,9,10,1.598044321806442,promoted
