mean_difference,median_difference,ci_low,ci_high,positive_seeds,seed_count,evidence_class,scope,experiment,salt,alpha,metric,learner,aggregation,sensitivity,exceeds_practical_threshold,ci_excludes_zero
0.130076674624842,0.10552644886608725,0.09429510661882191,0.17281694985903312,10,10,B-confirmatory-sensitivity,gradient-boosted-tree-model,model-family-replication-trees,0,0.01,federation-unseen-recall,central,paired-seed-macro,,true,true
0.1388505464322769,0.13257483815332682,0.09996537088173622,0.19427733671348302,10,10,B-confirmatory-sensitivity,gradient-boosted-tree-model,model-family-replication-trees,0,0.01,own-domain-unseen-recall,central,paired-seed-macro,,true,true
0.08812544288816557,0.036595978868103236,0.04484762449115106,0.16236763219007422,10,10,B-confirmatory-sensitivity,gradient-boosted-tree-model,model-family-replication-trees,0,0.01,worst-client-unseen-recall,central,paired-seed-macro,,true,true
0.0976305173323335,0.08888371079319368,0.0767647343960599,0.12275066273823017,10,10,B-confirmatory-sensitivity,gradient-boosted-tree-model,model-family-replication-trees,0,0.05,family-macro-unseen-recall,central,paired-seed-macro,,true,true
0.1018057830906924,0.07637669557468219,0.0758944930628229,0.13704927238706702,10,10,B-confirmatory-sensitivity,gradient-boosted-tree-model,model-family-replication-trees,0,0.05,federation-unseen-recall,central,paired-seed-macro,,true,true
0.1174371273026054,0.09041836335361561,0.08508723844124319,0.1851134397627942,10,10,B-confirmatory-sensitivity,gradient-boosted-tree-model,model-family-replication-trees,0,0.05,own-domain-unseen-recall,central,paired-seed-macro,,true,true
0.16620360600256018,0.11558641975308644,0.11072805387906438,0.28839927267680504,10,10,B-confirmatory-sensitivity,gradient-boosted-tree-model,model-family-replication-trees,0,0.05,worst-client-unseen-recall,central,paired-seed-macro,,true,true
0.09201363232360268,0.08346305998920334,0.07257006411189493,0.11523089353595159,10,10,B-confirmatory-sensitivity,gradient-boosted-tree-model,model-family-replication-trees,0,0.1,family-macro-unseen-recall,central,paired-seed-macro,,true,true
0.09304200579341264,0.08830286529379694,0.07092729481872764,0.12308206449728591,10,10,B-confirmatory-sensitivity,gradient-boosted-tree-model,model-family-replication-trees,0,0.1,federation-unseen-recall,central,paired-seed-macro,,true,true
0.11113604930476458,0.1074739758226596,0.08179670713315895,0.14528422261080573,10,10,B-confirmatory-sensitivity,gradient-boosted-tree-model,model-family-replication-trees,0,0.1,own-domain-unseen-recall,central,paired-seed-macro,,true,true
0.19827973953709926,0.17971438824277816,0.1434168705017687,0.2855165576713845,10,10,B-confirmatory-sensitivity,gradient-boosted-tree-model,model-family-replication-trees,0,0.1,worst-client-unseen-recall,central,paired-seed-macro,,true,true
0.06517381545614073,0.07109666470263237,0.051733551030233645,0.07429325149872885,10,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.05,,fedavg,micro-pooled,all-families,true,true
0.0562755843492546,0.05829437357268452,0.04568663271215392,0.0644739954029607,10,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.05,,fedavg,micro-pooled,deduplicated-test,true,true
0.13987837026092503,0.15679405728467208,0.11103808392881613,0.16115135548475307,10,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.05,,fedavg,micro-pooled,top-family-removal,true,true
0.08796612419539893,0.06652588146139624,0.055639856459804835,0.12539396125810903,10,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.01,family-macro-unseen-recall,central,paired-seed-macro,,true,true
0.09456347241640137,0.08153789090053781,0.06291845151592183,0.13080887419339202,10,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.01,federation-unseen-recall,central,paired-seed-macro,,true,true
0.08785095382086641,0.06726977334455508,0.04658132622209063,0.1417290565315664,9,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.01,own-domain-unseen-recall,central,paired-seed-macro,,true,true
0.04231340442870936,0.03885417125624795,0.027952628750272004,0.07292809951902102,10,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.01,worst-client-unseen-recall,central,paired-seed-macro,,true,true
0.06880724478029246,0.06541149475074778,0.039249660792018456,0.11191702527558414,10,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.01,family-macro-unseen-recall,fedavg,paired-seed-macro,,true,true
0.07346665092732699,0.06488008046060828,0.038969868635962406,0.11266978007930468,9,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.01,federation-unseen-recall,fedavg,paired-seed-macro,,true,true
0.06902137882467954,0.06493128005430222,0.04381044389715924,0.09936493763692197,9,10,B-confirmatory-sensitivity,high-family-support,family-support-sensitivity-high,0,0.01,own-domain-unseen-recall,fedavg,paired-seed-macro,,true,true
