experiment,family,trials,seed_count,local_recall,absent_recall,peer_recall,ctk_gain,full_recall,linear_full_recall,trees_full_recall,pooling_gain,total_gain,evidence_class
controlled-exposure,revmob,609.2,10,0.2597512004745667,0.1826582888356476,0.5253100053417785,0.34265171650613085,0.5392157172046417,0.399419432682422,0.49537225299688153,-0.07709291163891907,0.26555880486721184,C-post-confirmatory-evidence-preserving
controlled-exposure,leadbolt,817.9,10,0.3042107840395382,0.3087486790367532,0.5852855567782247,0.2765368777414715,0.6483979855048654,0.4329283678709291,0.5248750637924291,0.004537894997214964,0.2810747727386865,C-post-confirmatory-evidence-preserving
controlled-exposure,adwo,920.3,10,0.6705764866003978,0.5635148722785813,0.6646284658543786,0.10111359357579727,0.584835071756421,0.6672474159632535,0.76101715571277,-0.10706161432181649,-0.005948020746019189,C-post-confirmatory-evidence-preserving
controlled-exposure,airpush,2419.2,10,0.6687575746696975,0.699217236804549,0.7833423437063345,0.08412510690178553,0.8591188531420529,0.6923796410287562,0.7988205235230234,0.030459662134851406,0.11458476903663695,C-post-confirmatory-evidence-preserving
controlled-exposure,hiddad,404.4,10,0.29777874331702675,0.23624335460503368,0.2654734663085952,0.0292301117035615,0.2827013015798694,0.15362719065745392,0.17892341484108878,-0.06153538871199307,-0.032305277008431554,C-post-confirmatory-evidence-preserving
controlled-exposure,gappusin,1500.8,10,0.3205176965951385,0.2808837129698577,0.3096739223677714,0.028790209397913703,0.45328727208805236,0.4114286206793648,0.5838778993725535,-0.03963398362528081,-0.010843774227367098,C-post-confirmatory-evidence-preserving
controlled-exposure,dowgin,5910.7,10,0.6581931303677816,0.768145525099343,0.7712990220516003,0.0031534969522572843,0.8642153018316373,0.8231987409801566,0.9186564206900254,0.10995239473156138,0.11310589168381868,C-post-confirmatory-evidence-preserving
replication-family-set,inmobi,581.9,10,0.497737322095675,0.7059714350262289,0.8721148912130644,0.1661434561868355,0.8314446903834037,,,0.20823411293055394,0.3743775691173894,C-post-confirmatory-evidence-preserving
replication-family-set,domob,399.4,10,0.5505912038003664,0.43696495002513325,0.5650429793380936,0.12807802931296036,0.5578345050305265,,,-0.11362625377523317,0.01445177553772714,C-post-confirmatory-evidence-preserving
replication-family-set,utchi,518.6666666666666,6,0.008383844986024748,0.017454559536191353,0.133449640500406,0.11599508096421467,0.43755777405769214,,,0.009070714550166606,0.12506579551438127,C-post-confirmatory-evidence-preserving
replication-family-set,youmi,666.8,10,0.34619755987116396,0.2931106700506715,0.3520682320682599,0.05895756201758836,0.35590566667642415,,,-0.05308688982049248,0.005870672197095916,C-post-confirmatory-evidence-preserving
replication-family-set,smsreg,1274.9,10,0.5620403379451778,0.6113457442393267,0.660289228879387,0.04894348464006031,0.7731213264285788,,,0.049305406294148924,0.09824889093420919,C-post-confirmatory-evidence-preserving
replication-family-set,kuguo,3630.7,10,0.5798519341145998,0.5600807611188169,0.5871267324879063,0.02704597136908938,0.7399914103004503,,,-0.019771172995782904,0.007274798373306468,C-post-confirmatory-evidence-preserving
replication-family-set,dnotua,251.0,10,0.5910279083060355,0.6186835464918418,0.6260168129704791,0.0073332664786372485,0.627254342257929,,,0.027655638185806297,0.0349889046644436,C-post-confirmatory-evidence-preserving
replication-family-set,zdtad,524.3333333333334,6,0.775727465016983,0.7126626186505957,0.6936128164144949,-0.019049802236100772,0.8647810912719308,,,-0.06306484636638732,-0.08211464860248807,C-post-confirmatory-evidence-preserving
