experiment,learner,condition,alpha,mean_realised_fpr,mean_worst_client_fpr,runs,valid_operating_runs,mean_fpr_deviation_from_target,evidence_class
controlled-exposure,fedprox,peer-present,0.1,0.10249645257772437,0.1283817160982869,10,10,0.0024964525777243646,B-confirmatory-sensitivity
controlled-exposure,local,peer-present,0.01,0.010586280013563487,0.014642009212973716,10,10,0.0005862800135634869,B-confirmatory-sensitivity
controlled-exposure,local,peer-present,0.05,0.04987094356999769,0.06227743496685041,10,10,-0.00012905643000231393,B-confirmatory-sensitivity
controlled-exposure,local,peer-present,0.1,0.10089117962598346,0.12418692024157793,10,10,0.0008911796259834515,B-confirmatory-sensitivity
family-permutation-control,central,family-absent-everywhere,0.01,0.010844020763479813,0.01511619770094659,10,10,0.0008440207634798132,B-confirmatory-sensitivity
family-permutation-control,central,family-absent-everywhere,0.05,0.050697809785738845,0.06562824313204459,10,10,0.0006978097857388427,B-confirmatory-sensitivity
family-permutation-control,central,family-absent-everywhere,0.1,0.10306370502475834,0.12649225079648713,10,10,0.003063705024758334,B-confirmatory-sensitivity
family-permutation-control,central,peer-present,0.01,0.010516082774892117,0.014257366372947314,10,10,0.0005160827748921168,B-confirmatory-sensitivity
family-permutation-control,central,peer-present,0.05,0.050404175099096796,0.06532455111525669,10,10,0.00040417509909679294,B-confirmatory-sensitivity
family-permutation-control,central,peer-present,0.1,0.10379605021302911,0.12878793667595417,10,10,0.0037960502130291035,B-confirmatory-sensitivity
family-permutation-control,fedavg,family-absent-everywhere,0.01,0.010964665067581853,0.0157068359947833,10,10,0.0009646650675818533,B-confirmatory-sensitivity
family-permutation-control,fedavg,family-absent-everywhere,0.05,0.050089265131931834,0.06383418380963607,10,10,0.00008926513193183161,B-confirmatory-sensitivity
family-permutation-control,fedavg,family-absent-everywhere,0.1,0.10086180759649803,0.12355352522059138,10,10,0.0008618075964980237,B-confirmatory-sensitivity
family-permutation-control,fedavg,peer-present,0.01,0.011233456934117035,0.016013385173942078,10,10,0.0012334569341170346,B-confirmatory-sensitivity
family-permutation-control,fedavg,peer-present,0.05,0.05015479036085111,0.06350982380245805,10,10,0.0001547903608511078,B-confirmatory-sensitivity
family-permutation-control,fedavg,peer-present,0.1,0.10170140166613903,0.12294248505722778,10,10,0.001701401666139024,B-confirmatory-sensitivity
family-permutation-control,local,peer-present,0.01,0.010570074941767408,0.014164810449144897,10,10,0.0005700749417674074,B-confirmatory-sensitivity
family-permutation-control,local,peer-present,0.05,0.050320810015862125,0.06303630118836256,10,10,0.0003208100158621219,B-confirmatory-sensitivity
family-permutation-control,local,peer-present,0.1,0.10194674467833624,0.12390329706615053,10,10,0.0019467446783362347,B-confirmatory-sensitivity
family-support-sensitivity-high,central,family-absent-everywhere,0.01,0.010766453183677164,0.014023837189293873,10,10,0.000766453183677164,B-confirmatory-sensitivity
