mean_difference,median_difference,ci_low,ci_high,positive_seeds,seed_count,evidence_class,experiment,client,family,local_recall,absent_recall,peer_recall,hidden_trials_per_seed
0.09027192020226076,0.09938596491228066,0.053912427441839196,0.10663524384112621,6,6,C-post-confirmatory-evidence-preserving,controlled-exposure,anzhi,adwo,0.5747294389477052,0.48412577589822176,0.5743976961004824,133.83333333333334
-0.001733550013437372,-0.008596918085969185,-0.04232263340830089,0.04571890145395796,1,3,C-post-confirmatory-evidence-preserving,controlled-exposure,anzhi,dowgin,0.8120516030745906,0.7215604131089886,0.7198268630955512,5748.666666666667
-0.0049715766928881645,-0.0032051282051282076,-0.011709601873536285,-0.0010683760683760691,0,3,C-post-confirmatory-evidence-preserving,controlled-exposure,anzhi,gappusin,0.26156607509066526,0.16180768229948558,0.15683610560659741,341.6666666666667
0.0,0.0,,,0,2,C-post-confirmatory-evidence-preserving,controlled-exposure,anzhi,hiddad,0.75,0.8375,0.8375,14.0
0.10416666666666667,0.0,0.0,0.3125,1,3,C-post-confirmatory-evidence-preserving,controlled-exposure,anzhi,leadbolt,0.37398989898989904,0.31426767676767675,0.41843434343434344,14.0
-0.021563342318059286,-0.021563342318059286,,,0,1,C-post-confirmatory-evidence-preserving,controlled-exposure,appchina,adwo,0.3423180592991914,0.3490566037735849,0.3274932614555256,742.0
0.0023980815347721673,0.0023980815347721673,,,1,2,C-post-confirmatory-evidence-preserving,controlled-exposure,appchina,airpush,0.8604327300491446,0.9883214504629481,0.9907195319977202,431.5
-0.01624933432969146,-0.006696428571428548,-0.08498086734693877,0.028619528619528628,1,4,C-post-confirmatory-evidence-preserving,controlled-exposure,appchina,dowgin,0.5571123696031076,0.4920414619492124,0.47579212761952094,264.0
0.04078921615387478,0.04771608120600157,0.012621842760583443,0.06522537483401179,4,6,C-post-confirmatory-evidence-preserving,controlled-exposure,appchina,gappusin,0.3160242449708797,0.2413062960392485,0.2820955121931233,1165.6666666666667
0.0,0.0,,,0,4,C-post-confirmatory-evidence-preserving,controlled-exposure,appchina,hiddad,0.6058823529411764,0.5573529411764706,0.5573529411764706,10.0
0.14367389367389372,0.14367389367389372,,,2,2,C-post-confirmatory-evidence-preserving,controlled-exposure,appchina,leadbolt,0.42753192753192754,0.4013216513216513,0.544995544995545,82.5
0.10611810322908721,0.08695652173913043,0.06833524027459954,0.18443935926773455,5,5,C-post-confirmatory-evidence-preserving,controlled-exposure,appchina,revmob,0.1550279684719044,0.060224383422323925,0.1663424866514111,19.8
0.05854241338112309,0.06451612903225812,0.0,0.11111111111111116,2,3,C-post-confirmatory-evidence-preserving,controlled-exposure,play-early,adwo,0.9113978494623657,0.8851135005973715,0.9436559139784947,21.666666666666668
0.06546287343959611,0.056755188233892195,0.03889390544288107,0.11870858750201302,6,6,C-post-confirmatory-evidence-preserving,controlled-exposure,play-early,airpush,0.6746276173606796,0.6508423545839889,0.716305228023585,1886.6666666666667
-0.0925925925925926,0.0,-0.2777777777777778,0.0,0,3,C-post-confirmatory-evidence-preserving,controlled-exposure,play-early,dowgin,0.6406926406926406,0.8059163059163059,0.7133237133237132,18.0
-0.022727272727272707,-0.022727272727272707,,,0,1,C-post-confirmatory-evidence-preserving,controlled-exposure,play-early,gappusin,0.4772727272727273,0.7272727272727273,0.7045454545454546,44.0
-0.03143783123966685,-0.05319148936170209,-0.07945889151562907,0.0514705882352941,1,3,C-post-confirmatory-evidence-preserving,controlled-exposure,play-early,hiddad,0.34981999103818046,0.4441952904093079,0.412757459169641,112.66666666666667
0.31153993855606754,0.31153993855606754,,,2,2,C-post-confirmatory-evidence-preserving,controlled-exposure,play-early,leadbolt,0.5164170506912442,0.3677995391705069,0.6793394777265744,697.5
0.3517874875868918,0.3517874875868918,,,2,2,C-post-confirmatory-evidence-preserving,controlled-exposure,play-late,airpush,0.4215491559086395,0.23733862959285004,0.5891261171797418,45.5
0.005319148936170193,0.005319148936170193,,,1,1,C-post-confirmatory-evidence-preserving,controlled-exposure,play-late,hiddad,0.17287234042553193,0.18882978723404256,0.19414893617021275,376.0
0.6130546955624355,0.6470588235294118,0.35,0.8421052631578947,3,3,C-post-confirmatory-evidence-preserving,controlled-exposure,play-late,leadbolt,0.47678018575851394,0.18218094255245956,0.7952356381148951,31.333333333333332
0.4966666666666667,0.4666666666666667,0.39333333333333337,0.6033333333333334,5,5,C-post-confirmatory-evidence-preserving,controlled-exposure,play-late,revmob,0.47190476190476194,0.20634920634920634,0.703015873015873,16.2
