evidence_class,client,seeds_selected,mean_local_recall
C-post-confirmatory-evidence-preserving,anzhi,3,0.23444387163892078
C-post-confirmatory-evidence-preserving,appchina,5,0.2882352050360132
C-post-confirmatory-evidence-preserving,play-late,2,0.3205322863877037
