learner,dose,effective_dose,recall,recall_std,ctk_gain
central,0,0.0,0.44676759287497275,0.2909000845542746,0.0
central,1,0.08571428571428572,0.45127704976975547,0.2918092853484652,0.004509456894782749
central,10,0.8571428571428571,0.4473677974756798,0.29258388113088885,0.0006002046007070581
central,50,4.485714285714286,0.4541762420750783,0.28597078428195644,0.0074086492001055
central,100,9.028571428571428,0.4527694551504028,0.2876424281369196,0.006001862275430033
central,500,43.1,0.5149788282316727,0.29448726208578974,0.06821123535669996
central,1000,79.38571428571429,0.523361207724866,0.2887566651568285,0.0765936148498932
central,,296.1857142857143,0.5564319238731703,0.29461874602324145,0.1096643309981975
fedavg,0,0.0,0.43722004102453943,0.2628306067163835,0.0
fedavg,1,0.08571428571428572,0.4329834490371052,0.2629981485982696,-0.004236591987434246
fedavg,10,0.8571428571428571,0.4405097917729338,0.26475643266807103,0.003289750748394383
fedavg,50,4.485714285714286,0.44801209102876494,0.2662085347286184,0.010792050004225477
fedavg,100,9.028571428571428,0.45698094564286823,0.26466312625399246,0.019760904618328783
fedavg,500,43.1,0.504780895368934,0.2552804495373723,0.06756085434439456
fedavg,1000,79.38571428571429,0.5269659210931232,0.25514075684239085,0.08974588006858379
fedavg,,296.1857142857143,0.5615769369329096,0.2545844095348802,0.12435689590837011
fedavg-finetune,0,0.0,0.46014684138153655,0.2565456115142073,0.0
fedavg-finetune,1,0.08571428571428572,0.4601778284375661,0.2547123554085521,0.000030987056029584225
fedavg-finetune,10,0.8571428571428571,0.4632810046849117,0.2577952653303933,0.0031341633033751715
fedavg-finetune,50,4.485714285714286,0.47348972647462284,0.25726356638255937,0.013342885093086303
fedavg-finetune,100,9.028571428571428,0.4799223470464489,0.2554216104301139,0.019775505664912343
fedavg-finetune,500,43.1,0.5055722567141879,0.24296089747101374,0.04542541533265142
fedavg-finetune,1000,79.38571428571429,0.524410600420844,0.23570303573875764,0.06426375903930752
fedavg-finetune,,296.1857142857143,0.5503658364407419,0.23783185116612174,0.09021899505920543
