evidence_class,experiment,learner,contrast,aggregate_metric,recall_metric,seed_count,aggregate_mean,aggregate_ci_low,aggregate_ci_high,aggregate_verdict,recall_mean,recall_ci_low,recall_ci_high,recall_verdict,material_gain_threshold,verdicts_opposed,masked_gain,masked_loss,sign_disagreement_seeds,gain_missed_seeds,false_reassurance_seeds,opposite_conclusion_seeds,seed_correlation
C-post-confirmatory-evidence-preserving,controlled-exposure,fedavg-finetune,peer-versus-local,auprc,federation-unseen-recall,10,-0.004248197025312162,-0.00785811448873155,-0.0015450672327248969,interval-below-reference,0.10708437321409317,0.07260193150171854,0.1335111279068886,interval-above-reference,0.03,true,true,false,7,7,0,7,-0.11423547474300162
C-post-confirmatory-evidence-preserving,controlled-exposure,fedavg-finetune,peer-versus-family-absent,auroc,own-domain-unseen-recall,10,0.013079170570831255,0.009284662682806016,0.019395969385724226,interval-above-reference,0.060516451635301304,0.029777429905575935,0.1007735560535018,interval-above-reference,0.03,false,false,false,1,0,0,0,0.6150719615068242
C-post-confirmatory-evidence-preserving,controlled-exposure,fedavg-finetune,peer-versus-family-absent,auroc,federation-unseen-recall,10,0.013079170570831255,0.009284662682806016,0.019395969385724226,interval-above-reference,0.07694263388266319,0.057097982798432215,0.10020639448377061,interval-above-reference,0.03,false,false,false,0,0,0,0,0.13786990170637342
C-post-confirmatory-evidence-preserving,controlled-exposure,fedavg-finetune,peer-versus-family-absent,auprc,own-domain-unseen-recall,10,0.016699635937238368,0.011389151617226027,0.022705074072678473,interval-above-reference,0.060516451635301304,0.029777429905575935,0.1007735560535018,interval-above-reference,0.03,false,false,false,1,0,0,0,0.4889797152015299
C-post-confirmatory-evidence-preserving,controlled-exposure,fedavg-finetune,peer-versus-family-absent,auprc,federation-unseen-recall,10,0.016699635937238368,0.011389151617226027,0.022705074072678473,interval-above-reference,0.07694263388266319,0.057097982798432215,0.10020639448377061,interval-above-reference,0.03,false,false,false,0,0,0,0,0.05318685592683956
C-post-confirmatory-evidence-preserving,controlled-exposure,blend,peer-versus-local,auroc,own-domain-unseen-recall,10,0.005145674975402292,0.004268757187044063,0.006232442413071123,interval-above-reference,0.0724507900914294,0.052658415437489975,0.09810393055987807,interval-above-reference,0.03,false,false,false,0,0,0,0,0.5616579346726341
C-post-confirmatory-evidence-preserving,controlled-exposure,blend,peer-versus-local,auroc,federation-unseen-recall,10,0.005145674975402292,0.004268757187044063,0.006232442413071123,interval-above-reference,0.12741081097685863,0.09396543548942923,0.16103399868798512,interval-above-reference,0.03,false,false,false,0,0,0,0,-0.04216694232263238
C-post-confirmatory-evidence-preserving,controlled-exposure,blend,peer-versus-local,auprc,own-domain-unseen-recall,10,0.007946750054422923,0.006272681764197636,0.00963470954670443,interval-above-reference,0.0724507900914294,0.052658415437489975,0.09810393055987807,interval-above-reference,0.03,false,false,false,0,0,0,0,-0.18858321373919298
C-post-confirmatory-evidence-preserving,controlled-exposure,blend,peer-versus-local,auprc,federation-unseen-recall,10,0.007946750054422923,0.006272681764197636,0.00963470954670443,interval-above-reference,0.12741081097685863,0.09396543548942923,0.16103399868798512,interval-above-reference,0.03,false,false,false,0,0,0,0,0.526779147259291
C-post-confirmatory-evidence-preserving,controlled-exposure,blend,peer-versus-family-absent,auroc,own-domain-unseen-recall,10,0.002584401987749385,0.0017011487279977426,0.0039118201430191945,interval-above-reference,0.06541434944309817,0.04671968091408596,0.0847037676947724,interval-above-reference,0.03,false,false,false,1,0,0,0,-0.28290318505482703
C-post-confirmatory-evidence-preserving,controlled-exposure,blend,peer-versus-family-absent,auroc,federation-unseen-recall,10,0.002584401987749385,0.0017011487279977426,0.0039118201430191945,interval-above-reference,0.07477323035111169,0.0534645458003678,0.0984108905406193,interval-above-reference,0.03,false,false,false,1,1,0,1,0.37181649239533554
