mean_difference,median_difference,ci_low,ci_high,positive_seeds,seed_count,evidence_class,learner,metric,gate_threshold,exceeds_gate_threshold
0.07396634316225503,0.061452943317596154,0.049477061012593686,0.10382873669485722,10,10,A-original-confirmatory,blend,federation-unseen-recall,0.1,false
0.049093015911499685,0.041390725681153206,0.02029144711338454,0.0778671812390401,9,10,A-original-confirmatory,central,federation-unseen-recall,0.1,false
0.06982156827942963,0.06095726569267035,0.04325828435489077,0.09552511347113841,10,10,A-original-confirmatory,fedavg,federation-unseen-recall,0.1,false
0.0942927809250205,0.08738778703349481,0.056784888117544896,0.13833192584803866,10,10,A-original-confirmatory,fedavg-finetune,federation-unseen-recall,0.1,false
0.06210527245564962,0.08148297456388309,0.02169088327054443,0.08922840567366322,9,10,A-original-confirmatory,fedprox,federation-unseen-recall,0.1,false
0.08066112547367521,0.11291168358596393,0.0002795778800410661,0.13658333681388707,7,10,A-original-confirmatory,blend,worst-client-unseen-recall,0.15,false
0.04229449159498356,0.03317335558336812,0.001408933780441304,0.08616886502144554,7,10,A-original-confirmatory,central,worst-client-unseen-recall,0.15,false
0.028801576354574466,0.011322568531731136,-0.02596663763948084,0.08683544330122185,7,10,A-original-confirmatory,fedavg,worst-client-unseen-recall,0.15,false
0.04660568511591291,-0.042048247398103256,-0.046745457375121424,0.16954743459642882,4,10,A-original-confirmatory,fedavg-finetune,worst-client-unseen-recall,0.15,false
0.07376725247095603,0.06109704149347703,0.02281167175677088,0.12610841839242456,7,10,A-original-confirmatory,fedprox,worst-client-unseen-recall,0.15,false
