mean_difference,median_difference,ci_low,ci_high,positive_seeds,seed_count,evidence_class,learner,comparison,measure,within_tolerance
0.13155558585968402,0.13360637257294714,0.0902208116227931,0.16680697580253884,10,10,C-post-confirmatory-evidence-preserving,fedavg,versus-local,federation-unseen-recall-change,
0.13927188168346402,0.13718246336952583,0.0893699272463192,0.18837238914324922,10,10,C-post-confirmatory-evidence-preserving,fedprox,versus-local,federation-unseen-recall-change,
0.007716295823780012,-0.009340051155890483,-0.0075206404209662075,0.03793789181144136,4,10,C-post-confirmatory-evidence-preserving,fedprox,versus-fedavg,federation-unseen-recall-change,
0.10708437321409317,0.11009642097182232,0.07260193150171854,0.1335111279068886,10,10,C-post-confirmatory-evidence-preserving,fedavg-finetune,versus-local,federation-unseen-recall-change,
-0.024471212645590868,-0.01959086826389267,-0.0628184408606874,0.0037766618724793923,3,10,C-post-confirmatory-evidence-preserving,fedavg-finetune,versus-fedavg,federation-unseen-recall-change,
0.12741081097685863,0.13159769426940052,0.09396543548942923,0.16103399868798512,10,10,C-post-confirmatory-evidence-preserving,blend,versus-local,federation-unseen-recall-change,
-0.004144774882825397,-0.0030602437908295865,-0.01745079877066078,0.008802723433720917,3,10,C-post-confirmatory-evidence-preserving,blend,versus-fedavg,federation-unseen-recall-change,
0.152284138227614,0.16716175609414638,0.10093919893085634,0.19522576067345662,10,10,C-post-confirmatory-evidence-preserving,central,versus-local,federation-unseen-recall-change,
0.020728552367929955,0.035431696865226237,-0.027845057850975415,0.04560463670807744,8,10,C-post-confirmatory-evidence-preserving,central,versus-fedavg,federation-unseen-recall-change,
0.0377081048869347,0.023791304830625803,0.015336226615382207,0.06200165995775968,8,10,C-post-confirmatory-evidence-preserving,fedavg,versus-local,own-domain-unseen-recall-change,
0.05934620012018095,0.05883742043369822,0.021177438972121293,0.10277928150315407,8,10,C-post-confirmatory-evidence-preserving,fedprox,versus-local,own-domain-unseen-recall-change,
0.021638095233246245,0.020195119860478145,-0.0024144007703393823,0.04630443428646251,8,10,C-post-confirmatory-evidence-preserving,fedprox,versus-fedavg,own-domain-unseen-recall-change,
0.005749109489005616,-0.002831560165030833,-0.011002639704553648,0.02806215692170781,5,10,C-post-confirmatory-evidence-preserving,fedavg-finetune,versus-local,own-domain-unseen-recall-change,
-0.03195899539792908,-0.03487694235539446,-0.041840634926834055,-0.01816103131470935,1,10,C-post-confirmatory-evidence-preserving,fedavg-finetune,versus-fedavg,own-domain-unseen-recall-change,
0.0724507900914294,0.07242363397588941,0.052658415437489975,0.09810393055987807,10,10,C-post-confirmatory-evidence-preserving,blend,versus-local,own-domain-unseen-recall-change,
0.03474268520449471,0.025213060770219065,0.018668930487067706,0.05410652646167054,9,10,C-post-confirmatory-evidence-preserving,blend,versus-fedavg,own-domain-unseen-recall-change,
0.05559051003116462,0.03994603038721478,0.018447900064925277,0.0982370267037642,8,10,C-post-confirmatory-evidence-preserving,central,versus-local,own-domain-unseen-recall-change,
0.017882405144229924,0.042215810211116755,-0.022022765173176806,0.04418664630056683,6,10,C-post-confirmatory-evidence-preserving,central,versus-fedavg,own-domain-unseen-recall-change,
0.14638337105343252,0.12693411724608045,0.07964543242888403,0.23966567705900815,10,10,C-post-confirmatory-evidence-preserving,fedavg,versus-local,worst-client-unseen-recall-change,
0.10141769493705093,0.06682271357006098,0.03797232667509337,0.23448435359715433,9,10,C-post-confirmatory-evidence-preserving,fedprox,versus-local,worst-client-unseen-recall-change,
-0.044965676116381574,-0.044256169052488054,-0.09936870663767194,0.0069296380850086565,4,10,C-post-confirmatory-evidence-preserving,fedprox,versus-fedavg,worst-client-unseen-recall-change,
0.12857926229209407,0.10109309470671694,0.0804245769711584,0.19801604248417937,10,10,C-post-confirmatory-evidence-preserving,fedavg-finetune,versus-local,worst-client-unseen-recall-change,
-0.01780410876133844,0.011138796075311569,-0.1088100741941618,0.041702231403393665,6,10,C-post-confirmatory-evidence-preserving,fedavg-finetune,versus-fedavg,worst-client-unseen-recall-change,
0.09452382193433177,0.03939867409175285,0.040612525086845486,0.20454858254379937,10,10,C-post-confirmatory-evidence-preserving,blend,versus-local,worst-client-unseen-recall-change,
-0.05185954911910075,-0.038304208091131386,-0.09758207222088869,-0.005691162102584528,2,10,C-post-confirmatory-evidence-preserving,blend,versus-fedavg,worst-client-unseen-recall-change,
0.13289045581302342,0.09179548963157674,0.03444626133759579,0.23434781458587206,9,10,C-post-confirmatory-evidence-preserving,central,versus-local,worst-client-unseen-recall-change,
-0.013492915240409093,0.008980595300219607,-0.07895741788358425,0.028439775335518096,5,10,C-post-confirmatory-evidence-preserving,central,versus-fedavg,worst-client-unseen-recall-change,
0.11708372096375852,0.11492674377197826,0.08953459531112512,0.14508851970147368,10,10,C-post-confirmatory-evidence-preserving,fedavg,versus-local,paired-seed-ctk-gain,
0.13508266709484104,0.12329668023434173,0.1087244980573251,0.17092050725614305,10,10,C-post-confirmatory-evidence-preserving,fedprox,versus-local,paired-seed-ctk-gain,
0.017998946131082515,0.022191933338830128,0.0011022645595724187,0.031180800980890686,8,10,C-post-confirmatory-evidence-preserving,fedprox,versus-fedavg,paired-seed-ctk-gain,
0.07694263388266319,0.0665748676252092,0.057097982798432215,0.10020639448377061,10,10,C-post-confirmatory-evidence-preserving,fedavg-finetune,versus-local,paired-seed-ctk-gain,
-0.04014108708109534,-0.03668005472392247,-0.062126054889989624,-0.021682400897660332,1,10,C-post-confirmatory-evidence-preserving,fedavg-finetune,versus-fedavg,paired-seed-ctk-gain,
0.07477323035111169,0.06746732613259776,0.0534645458003678,0.0984108905406193,10,10,C-post-confirmatory-evidence-preserving,blend,versus-local,paired-seed-ctk-gain,
-0.04231049061264684,-0.04879492974093402,-0.0513314923338824,-0.028622762184449292,0,10,C-post-confirmatory-evidence-preserving,blend,versus-fedavg,paired-seed-ctk-gain,
0.1307126976034772,0.11317639439357963,0.08556507811290066,0.18097184406121133,10,10,C-post-confirmatory-evidence-preserving,central,versus-local,paired-seed-ctk-gain,
0.013628976639718677,0.011319522544245786,-0.018695209435669023,0.04380336832211478,5,10,C-post-confirmatory-evidence-preserving,central,versus-fedavg,paired-seed-ctk-gain,
0.014471864895925496,0.029709367128837705,-0.037836340142029926,0.054121900140651664,7,10,C-post-confirmatory-evidence-preserving,fedavg,versus-local,paired-seed-pooling-gain,
0.004189214588622992,-0.001002232445321466,-0.048118309636072255,0.06473493538693224,5,10,C-post-confirmatory-evidence-preserving,fedprox,versus-local,paired-seed-pooling-gain,
-0.010282650307302504,-0.014959529671960237,-0.032756166726662254,0.018792813225800918,2,10,C-post-confirmatory-evidence-preserving,fedprox,versus-fedavg,paired-seed-pooling-gain,
0.030141739331429968,0.025068933043843777,-0.012657724724589176,0.06427685784405933,8,10,C-post-confirmatory-evidence-preserving,fedavg-finetune,versus-local,paired-seed-pooling-gain,
0.015669874435504473,0.015530037748682113,-0.01149521380023856,0.045547103708730156,5,10,C-post-confirmatory-evidence-preserving,fedavg-finetune,versus-fedavg,paired-seed-pooling-gain,
0.05263758062574694,0.051514769085081014,0.01838896837807476,0.08565452794183862,9,10,C-post-confirmatory-evidence-preserving,blend,versus-local,paired-seed-pooling-gain,
0.03816571572982144,0.025779359266911772,0.025606084285187913,0.055671535150659646,10,10,C-post-confirmatory-evidence-preserving,blend,versus-fedavg,paired-seed-pooling-gain,
0.021571440624136774,0.04703787657228181,-0.03408510291355717,0.06667605296888429,7,10,C-post-confirmatory-evidence-preserving,central,versus-local,paired-seed-pooling-gain,
0.007099575728211277,0.00842387077155568,-0.01427640654877859,0.027887230783781167,6,10,C-post-confirmatory-evidence-preserving,central,versus-fedavg,paired-seed-pooling-gain,
-0.032545480767707136,-0.033177122318536256,-0.044022947065074466,-0.021435570235790655,0,10,C-post-confirmatory-evidence-preserving,fedavg,versus-local,known-family-recall-change,false
-0.006305109592165159,-0.0024806927229623077,-0.018610963846048857,0.0021038115439370062,4,10,C-post-confirmatory-evidence-preserving,fedprox,versus-local,known-family-recall-change,true
0.026240371175541975,0.025528366919379986,0.011424305148870769,0.04068376035520596,8,10,C-post-confirmatory-evidence-preserving,fedprox,versus-fedavg,known-family-recall-change,
-0.037615099705321106,-0.038650518925456734,-0.04687868026676935,-0.027552317825419684,0,10,C-post-confirmatory-evidence-preserving,fedavg-finetune,versus-local,known-family-recall-change,false
-0.005069618937613973,-0.0037446038098094547,-0.009870891757151138,-0.00018977462177895997,2,10,C-post-confirmatory-evidence-preserving,fedavg-finetune,versus-fedavg,known-family-recall-change,
0.017137426324635184,0.017621883903392976,0.012128418167642426,0.02172702446009231,10,10,C-post-confirmatory-evidence-preserving,blend,versus-local,known-family-recall-change,true
0.04968290709234232,0.05025229875236842,0.042425763699763086,0.0560196531434191,10,10,C-post-confirmatory-evidence-preserving,blend,versus-fedavg,known-family-recall-change,
