experiment,family,learner,local_recall,absent_recall,peer_recall,full_recall,ctk_gain,trials,seed_count,novelty,classification
controlled-exposure,adwo,central,0.6705764866003978,0.5048459666057238,0.5649834618257625,0.584835071756421,0.06013749522003871,920.3,10,2.0631458838286605,poorly-rescued-under-full-exposure
controlled-exposure,airpush,central,0.6687575746696975,0.6654445961180382,0.7729481305678062,0.8591188531420529,0.10750353444976804,2419.2,10,2.5482840362252213,rescued
controlled-exposure,dowgin,central,0.6581931303677816,0.8374838196456016,0.866161477756506,0.8642153018316373,0.028677658110904336,5910.7,10,1.88928102476,rescued
controlled-exposure,gappusin,central,0.3205176965951385,0.314553295761764,0.40194346588044105,0.45328727208805236,0.08739017011867706,1500.8,10,1.590757471258689,poorly-rescued-under-full-exposure
controlled-exposure,hiddad,central,0.29777874331702675,0.21041530472361444,0.22459403413687537,0.2827013015798694,0.014178729413260937,404.4,10,4.189897997223157,poorly-rescued-under-full-exposure
controlled-exposure,leadbolt,central,0.3042107840395382,0.2902643081223545,0.5942350685947135,0.6483979855048654,0.303970760472359,817.9,10,2.7129486906531946,rescued
controlled-exposure,revmob,central,0.2597512004745667,0.24563525856213939,0.5604660904580173,0.5392157172046417,0.314830831895878,609.2,10,3.319853285343657,poorly-rescued-under-full-exposure
controlled-exposure,adwo,fedavg,0.6705764866003978,0.5635148722785813,0.6646284658543786,0.6956617752744149,0.10111359357579727,920.3,10,2.0631458838286605,rescued
controlled-exposure,airpush,fedavg,0.6687575746696975,0.699217236804549,0.7833423437063345,0.8550146619363173,0.08412510690178553,2419.2,10,2.5482840362252213,rescued
controlled-exposure,dowgin,fedavg,0.6581931303677816,0.768145525099343,0.7712990220516003,0.761818585154667,0.0031534969522572843,5910.7,10,1.88928102476,rescued
controlled-exposure,gappusin,fedavg,0.3205176965951385,0.2808837129698577,0.3096739223677714,0.35878424298051753,0.028790209397913703,1500.8,10,1.590757471258689,poorly-rescued-under-full-exposure
controlled-exposure,hiddad,fedavg,0.29777874331702675,0.23624335460503368,0.2654734663085952,0.31935426972207903,0.0292301117035615,404.4,10,4.189897997223157,poorly-rescued-under-full-exposure
